mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,106377,100.5,,101.5,,253.5
2,117490,99.5,,96.5,,239.5
3,99967,98.5,,94.0,,231.5
4,117450,98.0,,94.0,,231.0
5,94910,94.5,,97.0,,230.5
6,128618,99.0,,93.0,,230.0
7,106375,95.5,,94.5,,226.5
8,117837,97.0,,93.0,,226.0
9,131309,100.0,,90.0,,225.5
10,134879,96.0,,92.5,,223.0
11,112974,91.0,,97.5,,222.0
12,99978,95.0,,94.5,,221.5
13,99976,96.0,,93.0,,221.0
14,99968,93.5,,95.0,,220.5
15,116086,96.5,,89.5,,219.0
16,106371,96.5,,91.5,,217.5
16,105255,93.5,,92.5,,217.5
18,138379,96.0,,91.5,,217.0
19,79930,91.5,,95.0,,216.5
20,96704,94.5,,91.5,,216.0
20,116084,94.5,,91.5,,216.0
22,124157,93.0,,92.0,,215.0
23,105244,94.0,,92.0,,214.5
23,81304,93.0,,92.5,,214.5
25,117451,94.5,,90.0,,213.0
26,117462,93.0,,91.5,,212.5
27,130644,94.0,,90.0,,211.5
28,128789,92.5,,90.0,,208.5
29,130634,90.0,,93.0,,208.0
30,130649,88.5,,93.5,,207.5
31,128230,93.5,,88.0,,206.0
32,128224,93.0,,89.0,,205.0
33,112975,86.5,,94.5,,204.0
34,117459,91.5,,90.0,,203.5
35,91412,91.0,,89.0,,203.0
36,81301,95.5,,84.0,,202.5
37,112978,90.5,,89.0,,202.0
38,128295,92.5,,86.5,,201.0
39,128839,92.0,,87.0,,200.5
39,81306,87.0,,92.5,,200.5
41,119717,90.5,,88.5,,199.0
41,132096,88.5,,90.0,,199.0
43,124118,93.0,,86.0,,198.5
44,130632,87.5,,90.5,,197.5
45,120072,87.0,,89.0,,194.5
45,128788,88.5,,88.0,,194.5
47,106257,85.5,,90.5,,193.5
48,128783,88.0,,87.0,,192.0
49,134132,87.0,,88.5,,188.0
50,134890,87.5,,86.5,,187.5
51,107972,87.0,,86.5,,186.5
52,133613,85.0,,86.0,,182.5
53,94238,90.0,,79.5,,178.5
54,131935,83.5,,85.5,,176.0
55,119716,81.0,,86.5,,174.0
56,124158,81.5,,84.5,,172.5
57,120074,81.5,,83.5,,169.5
58,138412,83.0,,80.0,,164.5
59,124156,80.5,,83.5,,163.0
60,134127,80.0,,81.5,,162.0
61,112977,80.5,,78.5,,155.5
62,129572,74.5,,82.0,,150.5
63,131305,77.0,,79.5,,147.0
