mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,973,144.0,,138.0,,283.6
2,37284,137.0,,133.5,,269.4
3,106378,130.5,,136.0,,262.2
4,68743,131.5,,135.0,,261.2
5,68745,129.5,,129.5,,246.7
6,43223,130.0,,130.0,,245.5
7,75148,128.0,,129.0,,240.6
8,29533,121.5,,135.0,,239.2
9,32297,118.5,,135.5,,233.7
10,35788,129.5,,121.5,,230.3
11,108891,124.0,,126.5,,227.9
12,90663,128.0,,122.5,,226.4
13,9834,118.5,,131.5,,225.5
14,73228,126.0,,123.5,,224.1
15,134802,123.5,,126.0,,223.6
16,131309,124.5,,124.0,,222.3
17,27594,126.5,,121.5,,221.4
18,74412,117.0,,129.0,,217.8
19,73229,122.5,,124.0,,217.2
20,73166,117.0,,128.5,,216.9
21,13322,120.0,,124.5,,211.6
22,2950,119.0,,124.0,,211.4
23,104161,117.5,,125.0,,208.5
24,32824,121.5,,119.0,,204.9
25,62975,122.5,,116.5,,202.7
26,23834,134.0,,104.0,,202.4
27,71839,118.5,,120.5,,202.2
28,72592,127.5,,110.0,,200.5
29,92162,119.0,,118.5,,198.5
30,54682,122.5,,108.0,,182.4
31,445,125.0,,,,111.0
32,120495,114.5,,,,90.6
33,12274,114.0,,,,89.7
34,34374,112.0,,,,85.6
35,90236,111.5,,,,85.2
36,118117,111.5,,,,84.7
37,73277,110.5,,,,83.9
38,101217,109.0,,,,80.2
39,94124,108.5,,,,79.8
40,115912,109.0,,,,79.2
41,75708,108.0,,,,78.4
42,30417,107.5,,,,78.0
43,97610,108.0,,,,77.4
44,78558,105.5,,,,73.9
45,100406,105.5,,,,73.4
46,73920,104.5,,,,71.6
47,75190,100.5,,,,63.9
48,81305,100.5,,,,59.9
49,10064,98.5,,,,56.3
,23305,,,,,
