mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,72592,128.5,,128.0,,258.2
2,128286,129.5,,122.0,,250.2
3,106377,123.5,,125.5,,241.7
4,78803,119.5,,125.0,,235.1
5,128230,130.0,,113.5,,232.8
6,75190,123.0,,115.5,,222.8
7,128281,128.5,,112.0,,222.4
8,73232,119.0,,118.5,,218.5
9,102372,120.0,,116.5,,216.7
10,100198,116.5,,119.0,,214.4
11,73141,123.0,,111.0,,213.2
12,57861,113.0,,119.0,,208.1
13,118116,120.5,,110.5,,205.8
14,117441,120.5,,109.5,,203.0
14,10086,117.5,,112.5,,203.0
16,75148,118.5,,110.0,,200.8
17,108516,113.5,,116.0,,200.6
18,47891,115.5,,111.5,,196.1
19,139429,110.5,,110.5,,185.3
20,99979,110.0,,111.0,,183.8
21,134450,113.5,,104.5,,180.9
22,128558,110.5,,106.0,,175.2
23,117496,116.0,,99.0,,174.0
24,75708,116.0,,97.5,,171.8
25,73240,116.0,,95.0,,165.3
26,13322,111.0,,98.0,,160.7
27,74488,112.5,,95.0,,159.0
28,128446,111.0,,95.0,,155.8
29,99966,111.0,,93.5,,153.1
30,109565,110.5,,88.0,,141.3
31,29034,108.5,,,,89.3
32,106257,108.5,,,,88.3
33,135817,107.0,,,,85.1
33,116191,107.0,,,,85.1
35,9834,106.5,,,,84.7
36,91417,107.0,,,,84.6
37,10064,104.0,,,,79.7
38,149499,104.0,,,,79.2
39,80230,103.5,,,,78.3
40,157213,102.5,,,,75.5
41,123925,101.0,,,,73.8
42,153811,99.5,,,,70.6
42,161594,99.5,,,,70.6
44,124158,98.5,,,,69.3
45,72581,99.0,,,,69.2
46,120379,97.5,,,,66.5
47,30417,98.5,,,,65.3
48,94253,97.0,,,,64.6
49,136847,96.5,,,,64.2
50,120072,96.0,,,,63.8
51,134452,96.5,,,,63.2
52,128280,95.0,,,,61.5
53,112975,92.0,,,,56.6
54,124156,90.0,,,,52.5
55,129151,89.5,,,,51.6
56,156215,85.0,,,,43.5
57,131883,84.0,,,,36.7
58,134127,81.0,,,,30.3
59,124307,80.5,,,,29.4
60,128291,79.0,,,,26.2
61,148842,78.5,,,,25.3
62,128113,78.0,,,,24.9
,136816,,,,,
,157094,,,,,
