mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,62975,106.0,,,,138.5
2,27594,105.0,,,,135.5
3,43223,105.5,,,,135.0
4,73166,104.5,,,,134.5
4,75148,105.0,,,,134.5
6,74412,105.0,,,,133.5
6,29533,105.5,,,,133.5
8,23305,104.5,,,,133.0
9,54682,103.5,,,,132.5
10,108891,103.5,,,,132.0
11,29975,103.0,,,,130.0
12,73228,103.0,,,,127.5
13,9834,102.0,,,,127.0
13,131309,101.5,,,,127.0
15,12274,102.5,,,,126.5
15,118117,101.5,,,,126.5
17,73229,101.5,,,,125.5
18,99965,100.5,,,,123.5
18,104161,100.0,,,,123.5
18,13322,100.5,,,,123.5
21,2950,99.5,,,,122.5
22,30417,99.0,,,,121.5
23,32824,99.0,,,,120.5
23,73243,99.0,,,,120.5
25,34374,97.5,,,,117.5
26,90236,97.5,,,,117.0
27,101217,97.5,,,,116.5
27,47891,97.5,,,,116.5
29,94124,97.0,,,,116.0
30,120495,97.0,,,,115.0
31,94125,97.0,,,,114.5
32,81305,96.5,,,,114.0
33,73277,96.0,,,,113.5
33,75190,96.0,,,,113.5
35,71839,96.0,,,,113.0
35,115912,96.0,,,,113.0
37,25074,95.5,,,,112.0
37,91802,95.5,,,,112.0
39,100406,95.0,,,,111.0
40,10064,93.5,,,,108.5
40,75428,93.5,,,,108.5
42,97610,94.0,,,,107.5
43,10086,93.5,,,,107.0
44,78803,92.5,,,,105.0
45,78558,92.0,,,,104.5
46,78807,92.0,,,,103.5
47,73920,91.5,,,,103.0
48,91618,90.5,,,,100.0
49,136847,89.0,,,,98.5
50,120072,89.0,,,,97.5
,81301,,,,,
