mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,147547,134.0,,146.0,,290.1
2,186516,134.5,,142.0,,281.7
3,111251,129.5,,137.5,,274.1
4,118113,129.5,,137.0,,273.0
5,109565,133.5,,138.5,,271.4
6,112295,132.5,,135.0,,271.1
6,75837,133.5,,138.0,,271.1
8,72592,130.5,,134.5,,266.9
9,128558,133.0,,132.0,,265.9
10,27594,130.0,,134.0,,263.7
11,73229,130.5,,134.5,,261.6
12,92737,129.0,,132.5,,258.9
13,174246,130.0,,131.0,,255.8
14,128621,127.5,,130.5,,248.6
15,43223,128.0,,126.0,,247.4
16,25074,128.5,,128.0,,245.7
17,134127,125.0,,128.0,,242.2
18,118061,123.5,,128.5,,238.7
19,153777,126.5,,126.5,,238.2
20,171479,124.0,,124.0,,235.7
21,139237,122.5,,124.0,,233.0
22,175089,126.5,,122.0,,230.9
23,175070,124.5,,124.5,,230.3
24,128402,122.0,,124.5,,227.7
25,99978,122.5,,119.5,,225.7
26,175050,126.0,,125.5,,224.9
27,166435,122.5,,124.5,,223.5
28,99976,123.5,,125.5,,222.0
29,143646,124.0,,121.5,,221.8
30,13322,133.5,,,,127.3
31,156838,119.5,,,,106.4
32,132096,120.5,,,,105.7
33,78803,119.5,,,,105.2
34,128447,118.0,,,,103.3
35,128788,119.0,,,,102.8
36,166437,119.5,,,,102.5
37,132745,120.5,,,,102.2
38,166447,116.5,,,,101.3
38,147499,117.0,,,,101.3
40,130632,120.5,,,,100.7
41,180727,115.0,,,,100.1
42,81301,119.0,,,,100.0
43,135583,116.0,,,,97.5
44,147015,113.5,,,,97.1
44,154090,119.5,,,,97.1
46,143981,117.5,,,,96.2
47,192144,118.5,,,,95.7
48,154093,116.5,,,,95.0
49,102483,118.0,,,,93.1
50,145300,115.0,,,,90.1
51,131524,113.0,,,,89.9
52,148099,115.0,,,,89.7
53,173399,115.5,,,,89.5
54,143883,112.0,,,,85.9
55,154664,112.0,,,,85.5
56,180709,109.0,,,,83.8
57,174516,110.0,,,,82.8
58,151261,107.5,,,,79.0
59,161572,111.0,,,,78.0
60,136139,108.0,,,,77.3
61,181018,107.0,,,,75.7
62,176562,100.0,,,,59.8
63,196057,98.5,,,,54.4
64,188076,86.5,,,,35.2
,143980,,,,,
,136242,,,,,
