mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,90875,97.0,,97.5,,255.0
2,68732,91.0,,91.0,,227.0
3,78802,88.0,,86.0,,214.0
4,94154,91.5,,80.5,,206.5
5,75434,82.5,,87.5,,202.0
6,105635,84.0,,86.0,,200.5
7,92118,77.5,,88.0,,191.0
8,94155,82.0,,81.0,,190.5
9,127482,82.0,,81.0,,187.0
10,119730,82.5,,79.5,,184.0
11,94162,81.0,,81.0,,182.0
12,101371,78.5,,81.0,,178.0
13,75534,83.5,,72.5,,173.5
14,94160,84.0,,68.0,,156.0
15,94158,79.0,,68.5,,153.0
16,122692,71.0,,78.5,,152.5
17,94159,70.5,,75.5,,146.0
18,120490,70.0,,71.5,,135.5
19,181636,62.5,,73.0,,126.5
20,94247,68.0,,65.0,,114.5
21,83134,65.5,,65.5,,108.0
22,128232,61.0,,67.5,,100.0
23,120494,61.0,,60.5,,95.5
24,120493,49.5,,60.0,,65.0
25,104267,66.0,,,,58.5
26,139988,55.0,,53.0,,57.5
27,120492,46.0,,47.0,,24.5
