mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,61496,128.5,,137.0,,267.1
2,17013,132.0,,133.0,,264.2
3,100198,129.0,,137.5,,263.9
4,138474,129.0,,134.5,,261.0
5,82727,131.0,,132.0,,258.6
6,35646,129.0,,132.0,,255.0
7,51865,129.0,,129.5,,250.0
8,123192,128.0,,129.5,,247.2
9,47446,124.5,,132.0,,245.4
10,112735,125.0,,132.0,,245.3
11,25074,127.0,,129.0,,244.5
11,80221,123.0,,133.0,,244.5
13,38651,123.5,,131.0,,243.8
14,82747,123.5,,130.5,,241.4
15,117441,127.0,,127.5,,241.3
16,128806,124.0,,130.5,,240.3
17,81305,125.0,,132.5,,239.2
18,112295,126.5,,126.5,,238.6
19,73240,124.0,,127.5,,237.9
20,117835,125.0,,128.0,,237.6
21,94910,122.5,,129.5,,236.8
22,75179,126.5,,126.0,,236.7
23,140330,124.5,,127.0,,233.9
24,51194,125.5,,125.0,,231.6
24,72563,126.5,,124.0,,231.6
26,113115,122.5,,125.0,,224.7
27,72581,123.0,,122.5,,223.6
28,135583,125.0,,118.0,,219.1
29,131309,122.5,,119.5,,216.3
30,121298,123.5,,110.5,,200.9
31,39390,123.0,,,,110.0
32,92418,121.5,,,,109.8
33,124280,122.0,,,,109.7
34,108894,121.5,,,,109.3
35,118117,121.0,,,,108.4
36,54724,121.0,,,,107.4
37,73232,122.0,,,,107.2
38,92162,120.0,,,,107.1
39,80229,121.5,,,,106.8
40,92412,120.0,,,,106.1
41,109375,119.5,,,,104.7
42,83141,119.0,,,,104.3
43,105255,119.5,,,,104.2
44,133939,117.5,,,,103.1
45,55369,118.0,,,,102.0
46,115912,117.5,,,,99.6
47,102483,115.0,,,,96.1
48,110528,115.0,,,,95.6
49,67479,112.5,,,,93.1
50,106090,113.5,,,,91.9
51,123597,112.0,,,,89.2
52,120374,112.0,,,,88.7
53,110912,110.0,,,,86.6
54,142646,109.0,,,,83.3
55,128113,110.0,,,,82.6
56,110529,107.0,,,,80.7
57,2377,110.5,,,,80.0
58,107972,106.5,,,,79.3
59,93957,106.5,,,,75.8
60,121679,101.0,,,,69.4
61,93956,101.5,,,,68.8
62,134277,95.5,,,,53.5
63,121173,93.0,,,,51.5
64,111909,87.5,,,,35.6
65,134112,80.5,,,,23.0
,96704,,,,,
