mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,111250,104.0,,100.0,,254.5
2,117490,101.5,,99.5,,245.5
3,73232,101.5,,97.5,,244.5
4,131309,96.0,,101.5,,242.0
5,108009,97.0,,97.0,,235.0
6,118112,97.5,,97.0,,234.0
7,120379,96.5,,97.0,,231.5
8,108006,95.0,,96.5,,229.0
9,134707,93.0,,98.5,,228.0
9,111251,97.0,,95.0,,228.0
11,111474,97.5,,95.0,,227.0
11,118116,94.0,,98.0,,227.0
13,118117,100.0,,89.5,,222.5
14,121564,97.0,,90.5,,220.0
15,130634,94.0,,92.0,,214.0
16,128224,95.5,,88.5,,209.5
17,111476,92.0,,89.5,,208.0
18,123925,94.5,,87.5,,205.0
19,97610,100.0,,85.0,,204.5
20,110527,90.5,,90.5,,201.5
21,118114,93.5,,85.0,,200.5
21,92737,95.0,,86.0,,200.5
23,128280,94.5,,86.0,,198.5
23,93859,92.5,,88.5,,198.5
25,127589,92.5,,83.5,,191.0
25,128281,90.5,,85.5,,191.0
27,131914,91.0,,85.5,,190.0
28,93860,100.5,,75.0,,189.0
29,131915,91.5,,84.0,,188.0
30,127553,88.0,,78.0,,170.0
31,129421,87.0,,,,23.5
32,97608,86.0,,,,21.5
33,143272,84.0,,,,16.0
33,132291,84.5,,,,16.0
35,111477,85.0,,,,13.5
36,136243,81.5,,,,11.0
37,122081,81.0,,,,8.5
38,122078,80.5,,,,8.0
39,131916,79.5,,,,6.0
40,91632,89.0,,,,4.5
