mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,104161,138.0,133.6,139.5,142.8,276.4
2,128286,142.0,135.3,136.0,138.8,274.1
3,174244,140.0,139.5,133.5,131.2,270.7
4,140329,143.0,136.7,134.0,131.7,268.4
5,131309,133.0,127.1,136.5,136.8,263.9
6,29533,133.5,128.1,134.5,133.3,261.4
7,973,134.0,122.7,134.0,133.5,256.2
8,117441,138.5,131.1,129.0,119.7,250.8
9,117835,132.0,123.4,129.5,125.9,249.3
10,128618,136.5,129.0,126.0,119.0,248.0
11,2950,131.0,121.9,130.0,123.5,245.4
12,13322,135.0,122.0,129.5,123.1,245.1
13,73277,131.0,119.0,129.0,121.5,240.5
14,73232,130.5,118.0,130.0,120.8,238.8
15,106378,130.5,118.9,127.5,118.2,237.1
16,72563,130.5,120.9,126.5,115.8,236.7
17,153777,134.5,121.9,125.5,114.4,236.3
18,142646,132.5,120.8,126.0,115.3,236.1
19,135119,126.5,110.9,128.0,120.7,231.6
20,157213,134.5,120.5,124.5,110.9,231.4
21,162711,129.5,110.7,125.5,118.5,229.2
22,38651,126.5,109.9,125.5,116.4,226.3
23,136813,129.5,114.0,123.0,111.8,225.8
24,121678,132.0,114.5,123.0,109.6,224.1
25,90663,127.5,106.3,126.5,117.4,223.7
26,73166,126.0,106.9,126.5,115.9,222.8
26,117496,132.0,113.4,122.5,109.4,222.8
28,43223,127.5,109.1,125.0,112.1,221.2
29,118113,127.5,109.6,122.0,105.9,215.5
30,75148,127.0,106.2,118.0,99.7,205.9
31,75837,125.0,106.1,,,106.1
32,27594,125.0,105.7,,,105.7
33,111251,124.5,105.4,,,105.4
34,123925,124.0,104.1,,,104.1
35,152956,123.5,103.6,,,103.6
36,12274,122.5,102.4,,,102.4
37,68743,124.0,101.6,,,101.6
37,102371,123.5,101.6,,,101.6
39,83056,126.0,100.8,,,100.8
40,124157,120.5,99.4,,,99.4
41,174079,123.0,98.1,,,98.1
42,73229,121.5,97.6,,,97.6
43,128558,121.5,96.3,,,96.3
44,75428,119.0,93.0,,,93.0
45,90236,118.5,92.6,,,92.6
46,139964,121.5,92.5,,,92.5
47,108891,119.5,91.5,,,91.5
48,165235,117.5,88.4,,,88.4
49,139045,116.5,84.5,,,84.5
50,72592,114.5,83.7,,,83.7
