mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,73228,130.5,140.8,131.0,146.6,287.4
2,174244,130.5,143.7,133.0,142.1,285.8
3,128618,132.5,144.6,131.0,139.6,284.2
4,117441,133.0,141.9,130.5,141.1,283.0
5,117835,132.5,142.8,131.0,139.0,281.8
6,73232,132.5,140.1,128.0,139.0,279.1
7,147547,132.0,141.9,129.5,136.6,278.5
8,111251,129.5,139.3,128.5,138.1,277.4
9,186516,129.0,138.0,130.0,138.6,276.6
10,172117,128.5,137.3,130.5,139.0,276.3
11,128621,127.0,135.2,127.5,139.7,274.9
12,118113,127.5,133.9,124.5,137.7,271.6
13,131309,125.5,130.9,131.0,140.1,271.0
14,123925,130.0,138.8,125.5,130.7,269.5
15,104161,126.0,132.2,126.0,136.1,268.3
16,117450,128.5,138.4,125.5,129.4,267.8
17,17013,124.5,125.5,129.0,141.5,267.0
18,174572,126.5,132.6,124.0,133.7,266.3
19,112295,124.0,129.7,125.0,134.1,263.8
20,13322,127.0,136.1,125.0,127.2,263.3
21,164621,124.5,131.5,125.5,130.0,261.5
22,12274,122.0,125.4,125.0,134.9,260.3
23,29533,126.5,130.6,125.0,129.5,260.1
24,73229,124.5,125.6,122.0,128.7,254.3
25,27594,124.5,127.0,120.0,123.3,250.3
26,73166,125.0,127.3,119.0,121.8,249.1
27,102371,123.0,124.8,121.5,124.1,248.9
28,128788,121.0,122.3,121.0,121.9,244.2
29,68743,124.0,124.6,119.5,118.8,243.4
30,140329,125.5,126.6,115.0,113.5,240.1
31,90236,123.0,122.2,,,122.2
32,973,120.5,120.8,,,120.8
33,106378,119.0,119.9,,,119.9
34,155620,120.0,119.8,,,119.8
35,78803,119.0,119.4,,,119.4
36,108891,119.5,119.1,,,119.1
37,139429,122.0,117.2,,,117.2
38,75837,119.5,116.0,,,116.0
39,136813,117.0,115.5,,,115.5
40,179422,118.5,114.8,,,114.8
41,445,117.0,114.1,,,114.1
42,147549,116.0,112.9,,,112.9
43,38651,116.0,110.8,,,110.8
44,71839,114.0,107.2,,,107.2
45,173399,114.0,106.5,,,106.5
46,189038,113.5,104.5,,,104.5
47,167385,113.5,103.0,,,103.0
48,140331,112.0,99.2,,,99.2
49,75176,110.0,99.1,,,99.1
50,128111,110.0,98.3,,,98.3
