mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,106376,98.5,,93.5,,251.5
2,106378,95.0,,89.0,,236.5
3,89952,83.5,,84.5,,201.0
4,73297,85.0,,78.5,,190.5
5,121681,83.5,,79.5,,189.5
6,75180,81.0,,77.5,,180.0
7,73219,87.5,,70.5,,178.5
8,119718,80.0,,76.5,,173.5
9,92487,75.5,,80.5,,172.0
10,100351,76.0,,81.0,,171.5
11,73326,79.0,,74.5,,166.5
12,73206,74.5,,75.0,,158.5
13,73253,74.0,,74.0,,155.5
14,89968,74.5,,72.5,,153.0
15,83153,71.5,,73.5,,148.0
16,73170,72.5,,70.0,,142.5
17,117108,73.5,,68.5,,141.0
18,89969,70.5,,70.0,,135.0
19,73222,72.0,,67.0,,131.0
20,117097,67.0,,70.0,,130.0
21,89973,70.0,,65.0,,126.5
22,100377,68.0,,67.5,,123.5
23,73177,72.5,,61.5,,120.0
24,100393,63.5,,67.0,,117.0
25,89957,63.5,,65.0,,109.0
