mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,73166,116.0,,,,138.4
2,37284,111.0,,,,136.7
3,118113,114.5,,,,130.1
4,108891,108.5,,,,128.8
5,29975,109.5,,,,127.6
5,74412,106.0,,,,127.6
7,111251,109.0,,,,127.2
8,973,107.0,,,,126.7
9,9834,110.5,,,,125.4
10,72563,106.0,,,,124.8
11,43223,115.0,,,,123.7
12,10064,111.5,,,,123.1
13,38651,111.0,,,,122.9
14,68745,99.5,,,,122.8
15,73229,108.0,,,,122.5
16,155672,104.0,,,,122.3
17,90236,108.5,,,,120.7
18,25074,110.5,,,,119.6
18,80229,107.0,,,,119.6
20,73277,103.0,,,,119.1
21,75837,105.0,,,,118.6
22,135583,106.0,,,,118.3
23,134879,106.5,,,,117.4
24,73289,106.5,,,,117.2
25,100406,104.5,,,,115.4
26,18712,109.5,,,,114.6
27,72592,101.0,,,,114.1
28,55369,105.5,,,,113.9
28,92162,106.5,,,,113.9
30,112944,101.5,,,,113.8
31,94125,103.5,,,,113.6
32,2950,106.0,,,,113.5
33,47891,106.5,,,,113.4
34,13322,106.0,,,,113.1
35,29533,104.5,,,,112.9
35,134802,103.0,,,,112.9
37,112295,105.0,,,,112.1
38,133096,103.0,,,,111.9
39,54682,101.0,,,,108.9
40,75190,104.0,,,,108.3
41,131309,103.0,,,,107.8
42,81305,99.0,,,,106.9
43,101217,99.0,,,,106.0
43,32297,101.0,,,,106.0
45,104161,101.5,,,,105.1
46,12274,103.5,,,,104.0
47,23834,98.0,,,,103.5
48,118117,102.0,,,,100.5
49,30417,89.5,,,,91.9
50,97610,78.0,,,,62.4
