mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,128224,112.0,,108.0,,263.0
2,112295,109.0,,104.0,,255.9
3,61496,106.0,,106.0,,253.6
4,106376,106.0,,105.5,,250.7
5,47891,105.5,,104.5,,247.5
6,72592,105.0,,102.0,,243.6
7,108006,105.0,,100.5,,239.9
8,139429,101.0,,104.5,,238.4
9,102486,104.0,,100.5,,234.6
10,108516,106.5,,98.0,,234.1
11,105244,100.5,,102.5,,231.4
12,99979,102.0,,99.5,,230.7
13,39390,105.5,,96.0,,228.7
14,124118,103.0,,99.0,,228.1
15,124307,103.0,,97.5,,226.9
16,72581,104.5,,94.5,,224.2
17,100198,100.0,,98.5,,223.8
18,138474,99.5,,99.5,,223.7
19,80230,105.0,,93.0,,223.4
19,99978,99.5,,98.5,,223.4
21,113115,104.5,,94.0,,222.3
22,142646,100.5,,96.5,,221.1
23,117496,104.5,,92.0,,219.7
24,106257,96.5,,97.5,,213.7
25,128286,98.0,,96.0,,213.2
26,73240,95.5,,98.0,,212.3
27,80229,98.0,,94.0,,208.6
28,73141,98.0,,94.0,,208.1
29,135817,98.5,,91.5,,202.5
30,117441,96.5,,88.0,,190.6
31,81301,96.0,,,,103.8
32,94910,95.5,,,,102.9
33,121678,95.0,,,,102.5
34,75708,94.5,,,,101.1
35,132096,94.0,,,,100.2
36,123198,92.0,,,,96.6
37,117461,92.5,,,,96.5
38,120495,91.5,,,,94.2
39,106090,91.0,,,,93.3
39,128446,91.0,,,,93.3
41,130644,90.0,,,,91.5
41,138409,90.0,,,,91.5
43,75190,89.0,,,,89.7
44,47271,88.5,,,,88.8
44,136816,88.5,,,,88.8
44,135119,88.5,,,,88.8
47,142647,88.0,,,,87.9
48,75428,87.5,,,,87.0
48,75148,87.5,,,,87.0
50,115912,87.0,,,,86.1
51,29034,84.5,,,,80.6
52,131312,81.0,,,,73.8
53,96704,81.5,,,,72.7
54,131883,80.5,,,,69.9
55,97610,79.0,,,,67.2
56,131913,77.5,,,,65.5
57,131882,75.0,,,,62.0
58,132086,75.0,,,,61.5
59,128113,72.5,,,,57.0
60,167936,70.0,,,,52.5
61,148701,71.5,,,,50.2
62,79930,66.0,,,,43.8
,107972,,,,,
,131941,,,,,
