mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,131935,88.0,,90.5,,220.5
2,108516,87.0,,92.5,,219.0
2,44772,86.5,,90.5,,219.0
4,117461,90.0,,87.0,,218.0
5,128621,88.0,,90.0,,217.5
6,149215,89.5,,85.5,,213.0
7,99976,88.0,,86.5,,212.0
8,99978,87.5,,87.0,,211.0
8,25904,82.5,,91.0,,211.0
8,92737,86.5,,87.5,,211.0
11,78807,86.5,,86.5,,209.0
11,128458,83.0,,90.5,,209.0
13,117441,87.5,,94.5,,207.0
13,124118,83.0,,90.0,,207.0
15,92412,84.0,,87.5,,206.0
16,140331,85.5,,86.0,,205.5
17,130646,85.5,,85.5,,204.0
18,106375,85.0,,86.0,,202.5
19,126003,84.0,,86.0,,201.0
19,113128,84.5,,85.0,,201.0
21,128839,83.0,,86.5,,199.5
22,94238,83.5,,83.5,,196.5
23,92162,84.5,,84.0,,196.0
23,10086,83.0,,84.5,,196.0
23,75428,84.5,,82.5,,196.0
26,117451,83.0,,92.5,,192.0
27,92486,85.5,,80.0,,191.5
28,166472,85.5,,77.5,,181.5
29,97610,84.0,,76.5,,180.5
30,128457,84.5,,70.5,,162.0
31,121678,83.5,,,,95.0
32,29236,83.5,,,,94.5
32,112975,82.5,,,,94.5
32,100406,82.0,,,,94.5
35,94253,82.5,,,,94.0
36,94910,82.0,,,,93.5
36,73421,83.0,,,,93.5
36,134707,82.0,,,,93.5
39,184561,82.5,,,,93.0
40,123053,81.0,,,,91.5
40,161108,80.5,,,,91.5
42,130632,81.0,,,,91.0
43,112973,80.5,,,,90.5
43,111250,80.5,,,,90.5
45,102483,81.0,,,,90.0
46,178956,80.5,,,,89.5
46,106090,80.0,,,,89.5
48,109565,79.5,,,,88.5
48,151261,79.5,,,,88.5
50,131883,79.5,,,,88.0
51,128561,81.0,,,,87.5
52,115912,79.0,,,,87.0
53,118116,78.5,,,,86.5
53,67638,78.5,,,,86.5
55,128331,78.5,,,,86.0
56,118112,78.5,,,,85.5
57,149213,76.5,,,,81.5
58,117496,76.5,,,,81.0
59,156215,76.0,,,,80.0
60,166473,75.0,,,,78.0
61,123469,83.0,,,,75.0
61,166474,75.0,,,,75.0
61,110528,73.5,,,,75.0
64,143980,72.5,,,,72.0
65,116191,73.5,,,,51.0
