mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,122992,137.5,,,,146.2
2,23834,136.0,,,,143.6
3,37284,134.0,,,,139.9
4,99979,138.0,,,,139.0
5,108891,133.0,,,,138.9
6,101217,133.0,,,,138.0
6,54682,132.5,,,,138.0
8,90663,132.5,,,,137.7
9,25115,132.5,,,,135.9
9,128618,133.0,,,,135.9
11,62975,132.5,,,,134.7
12,73228,132.0,,,,134.2
13,73166,130.5,,,,133.7
14,17013,131.0,,,,132.9
15,111930,129.5,,,,132.2
16,110540,133.0,,,,131.6
17,39390,132.0,,,,130.6
18,72563,129.5,,,,130.5
19,31329,130.0,,,,130.1
20,32297,129.5,,,,129.1
21,51865,129.5,,,,129.0
22,2950,128.5,,,,128.9
23,117835,128.5,,,,127.7
24,35788,127.5,,,,127.0
24,131309,128.5,,,,127.0
26,134802,127.0,,,,126.8
27,43223,127.0,,,,125.1
28,100406,125.5,,,,122.5
29,27594,126.0,,,,121.0
30,9834,126.0,,,,120.7
31,25074,124.0,,,,120.3
32,73277,125.5,,,,120.1
33,72592,128.0,,,,119.5
34,73229,123.0,,,,119.3
35,111251,126.5,,,,119.2
36,99965,122.5,,,,116.9
37,445,123.0,,,,116.2
38,71839,121.5,,,,116.0
39,142646,122.5,,,,114.9
39,55369,120.5,,,,114.9
41,72581,122.5,,,,114.4
42,90236,121.0,,,,112.9
43,38651,120.0,,,,112.8
44,75837,119.0,,,,112.2
45,29533,120.0,,,,111.5
46,47891,121.5,,,,110.9
47,2377,117.5,,,,109.2
48,81305,116.5,,,,108.6
48,63739,121.5,,,,108.6
50,104161,119.5,,,,107.8
51,65420,119.0,,,,107.5
52,10064,117.0,,,,107.3
53,30417,120.0,,,,103.0
54,29975,118.5,,,,102.8
55,94125,115.0,,,,97.8
56,135583,113.0,,,,97.4
57,157213,112.0,,,,97.1
58,52447,108.5,,,,87.5
59,94124,111.5,,,,87.4
60,118117,108.0,,,,85.3
61,73243,107.0,,,,83.3
62,91618,105.0,,,,75.8
,61496,,,,,
,117461,,,,,
,68745,,,,,
,68743,,,,,
,973,,,,,
