mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,90878,95.0,,92.5,,244.5
2,75434,95.0,,93.0,,242.5
3,90875,94.0,,95.5,,238.5
4,83134,92.5,,94.5,,237.0
5,94154,92.0,,88.0,,221.0
6,105635,92.0,,85.5,,217.0
7,75534,87.5,,89.5,,215.5
8,92118,91.0,,86.5,,214.5
9,94155,87.5,,87.5,,212.5
10,94158,90.0,,83.0,,206.5
11,90485,82.0,,88.5,,200.0
12,122692,85.5,,83.5,,198.5
13,94166,82.0,,86.5,,198.0
14,127483,88.5,,83.5,,196.5
15,150862,80.5,,85.0,,188.5
16,97562,80.5,,83.0,,183.5
17,123071,78.5,,83.0,,181.0
18,123918,82.0,,79.0,,180.0
19,97563,82.0,,80.5,,179.0
20,104267,83.0,,80.5,,178.5
21,105654,74.5,,84.0,,171.0
22,105659,77.0,,80.0,,170.0
23,122739,76.5,,80.5,,168.5
24,139177,77.5,,77.0,,165.0
25,122693,82.0,,69.0,,152.0
26,105641,73.5,,75.0,,151.0
27,122740,67.5,,77.0,,138.5
27,127482,78.0,,67.5,,138.5
29,136810,69.5,,70.0,,128.0
30,105639,62.5,,62.0,,100.5
31,134601,64.0,,,,51.0
32,124374,58.0,,,,39.0
,135646,,,,,
