mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,68745,101.5,,107.0,,269.2
2,68743,99.5,,105.0,,260.1
3,37284,97.5,,102.0,,252.2
4,973,97.5,,101.5,,247.6
5,108891,94.0,,101.5,,244.8
6,73228,94.0,,101.0,,240.5
7,72563,95.5,,100.0,,239.2
8,106378,93.5,,98.0,,235.2
9,2950,97.0,,98.5,,232.6
10,110540,98.5,,94.0,,231.9
11,62975,93.5,,99.5,,231.2
12,71839,96.0,,97.0,,230.4
13,73166,92.5,,98.0,,229.9
14,54682,93.5,,97.5,,229.4
15,90663,92.5,,99.0,,229.0
16,90236,96.0,,98.0,,228.8
17,131309,94.0,,95.0,,224.6
18,112944,97.5,,94.5,,224.1
19,73232,93.5,,96.0,,224.0
20,445,96.0,,94.0,,223.0
21,31329,90.0,,97.5,,222.4
21,27594,91.0,,96.5,,222.4
23,101217,95.0,,92.0,,218.1
24,73277,93.0,,95.5,,217.9
25,81305,91.5,,95.0,,215.9
26,29533,93.5,,92.5,,215.7
27,55369,93.0,,93.0,,215.0
28,9834,94.0,,94.0,,214.7
29,32824,91.5,,93.5,,211.4
30,94125,94.0,,86.0,,194.6
31,100406,91.0,,,,101.7
32,32297,90.5,,,,100.2
33,68209,91.5,,,,99.8
34,111930,90.5,,,,99.7
35,104161,89.5,,,,99.2
36,13322,90.0,,,,95.9
37,35788,86.0,,,,93.2
38,23834,84.5,,,,91.7
39,63739,86.0,,,,91.4
40,92162,85.0,,,,91.2
41,91802,86.0,,,,88.6
42,25074,84.0,,,,88.2
43,128839,86.5,,,,87.8
44,99965,84.5,,,,87.6
45,94238,86.5,,,,87.3
46,134802,90.0,,,,85.1
46,112975,84.5,,,,85.1
48,91618,83.5,,,,80.0
48,110528,83.5,,,,80.0
50,128280,80.5,,,,76.9
