mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,106378,138.0,,133.0,,289.8
2,973,136.0,,131.0,,278.1
3,68745,130.5,,128.5,,266.2
4,35788,132.5,,126.0,,265.8
5,37284,128.0,,130.0,,263.4
6,155672,126.5,,126.0,,251.0
7,445,128.5,,123.5,,249.6
8,51865,124.0,,126.5,,248.9
9,62975,120.5,,128.5,,245.2
10,72592,122.5,,126.0,,244.8
11,27594,123.5,,123.5,,243.1
12,32824,124.5,,122.0,,238.2
13,68743,126.0,,119.5,,237.9
14,131309,118.5,,126.5,,235.5
15,12274,119.0,,125.5,,234.6
16,61496,119.0,,124.5,,233.8
17,134802,120.0,,122.5,,232.5
18,23834,121.0,,120.5,,230.2
19,106376,125.5,,117.0,,229.5
20,32297,121.0,,118.5,,225.1
21,9834,117.0,,122.0,,224.7
21,71839,122.5,,116.5,,224.7
23,29975,117.0,,121.5,,223.8
24,92162,119.0,,119.0,,221.4
25,111250,120.0,,117.0,,219.6
26,72563,116.5,,120.0,,219.2
27,73228,117.5,,119.0,,218.7
28,25115,116.0,,115.5,,209.2
29,73229,116.5,,115.0,,208.2
30,74412,122.0,,110.0,,208.1
31,25074,115.5,,,,104.4
32,90236,115.0,,,,103.5
33,23305,115.5,,,,103.4
34,81305,115.0,,,,103.0
35,75148,115.5,,,,102.9
36,2377,113.5,,,,100.8
37,99965,114.5,,,,100.6
38,2950,112.0,,,,98.1
39,57861,112.5,,,,97.5
40,111251,112.0,,,,97.1
41,118117,112.0,,,,96.6
42,82808,111.0,,,,94.3
43,73243,110.5,,,,93.9
44,78558,110.0,,,,93.0
45,112295,110.0,,,,92.5
46,94124,109.0,,,,90.7
47,91802,109.5,,,,90.6
48,118116,107.0,,,,86.1
49,134707,92.5,,,,54.5
,34374,,,,,
