mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,13322,112.5,130.3,,,130.3
2,149455,113.5,130.1,,,130.1
3,147015,116.5,130.0,,,130.0
4,120379,112.0,128.5,,,128.5
5,128618,111.0,128.3,,,128.3
6,106377,114.0,128.1,,,128.1
7,180709,114.5,127.9,,,127.9
8,124118,111.0,127.6,,,127.6
9,117450,112.5,127.2,,,127.2
10,973,114.5,125.9,,,125.9
11,153777,113.5,125.8,,,125.8
12,75837,110.5,125.7,,,125.7
13,73232,112.0,124.7,,,124.7
14,128456,109.5,124.3,,,124.3
15,111251,117.5,123.7,,,123.7
16,180727,110.5,122.1,,,122.1
17,92486,107.5,121.1,,,121.1
18,68743,109.0,120.9,,,120.9
19,139045,110.0,120.0,,,120.0
20,134127,108.5,118.9,,,118.9
21,173399,108.0,118.7,,,118.7
22,78803,106.5,118.2,,,118.2
23,174572,110.0,117.6,,,117.6
24,128402,107.0,115.5,,,115.5
25,166435,107.5,115.0,,,115.0
26,117097,106.5,114.6,,,114.6
26,128788,107.0,114.6,,,114.6
28,156410,107.5,113.8,,,113.8
29,180887,103.5,113.4,,,113.4
30,126003,105.5,113.2,,,113.2
31,192465,104.0,112.3,,,112.3
32,131935,103.5,111.2,,,111.2
33,75176,103.0,110.9,,,110.9
34,152956,101.0,110.1,,,110.1
35,90236,104.5,110.0,,,110.0
36,128806,105.0,109.9,,,109.9
37,143980,103.5,108.5,,,108.5
38,180889,101.0,108.0,,,108.0
39,143981,102.5,107.8,,,107.8
40,128111,98.5,107.4,,,107.4
41,186516,101.5,107.0,,,107.0
42,161594,99.0,104.7,,,104.7
43,174534,98.5,103.0,,,103.0
43,108867,98.5,103.0,,,103.0
45,10064,100.0,102.9,,,102.9
46,135583,97.5,102.6,,,102.6
47,109565,96.5,99.8,,,99.8
48,148058,99.5,99.5,,,99.5
49,102483,96.0,99.3,,,99.3
50,30417,96.0,98.9,,,98.9
51,100406,96.0,94.9,,,94.9
52,166447,92.5,93.1,,,93.1
53,111930,90.5,91.8,,,91.8
54,165235,86.5,78.6,,,78.6
55,166045,80.0,63.6,,,63.6
56,196315,77.0,58.5,,,58.5
,108891,,,,,
