mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,47446,129.5,,142.0,,262.2
2,73240,132.0,,133.0,,256.0
3,17013,127.5,,133.5,,249.3
4,112735,129.0,,131.5,,248.9
5,25074,128.0,,130.5,,244.8
6,108895,127.5,,131.0,,242.3
7,73228,126.5,,131.0,,242.0
8,108867,125.5,,132.0,,241.5
9,68746,128.0,,128.5,,240.7
10,100198,125.5,,131.0,,239.7
11,124280,126.5,,129.0,,238.9
12,38651,124.5,,129.0,,235.3
13,54724,129.0,,125.0,,235.2
14,61496,124.5,,127.0,,230.7
15,72573,125.0,,125.0,,224.5
16,80213,125.0,,124.0,,222.7
17,123192,123.5,,125.0,,220.8
18,108894,124.0,,123.5,,220.5
18,70450,126.5,,121.0,,220.5
20,117441,127.5,,120.0,,219.5
21,94910,125.5,,120.5,,218.8
22,75708,122.5,,124.0,,218.7
23,51194,123.0,,125.0,,218.4
24,134879,123.5,,122.0,,216.9
25,105251,125.0,,121.0,,214.8
26,108516,122.5,,124.0,,214.2
27,82747,125.0,,118.5,,209.3
28,135583,122.5,,119.0,,207.2
29,112978,123.5,,112.0,,196.4
30,123198,124.5,,109.0,,185.3
31,78803,124.0,,,,110.7
32,75190,122.0,,,,107.1
33,73229,121.0,,,,105.3
34,115912,121.5,,,,104.7
35,73920,121.0,,,,104.3
36,83141,121.5,,,,104.2
36,128806,121.5,,,,104.2
38,113115,121.0,,,,103.8
39,116086,120.0,,,,103.5
40,10064,119.0,,,,101.7
41,75837,119.5,,,,101.1
42,99967,119.0,,,,100.2
43,82808,118.5,,,,99.3
43,121298,118.5,,,,99.3
45,111251,117.5,,,,96.5
46,78807,117.0,,,,96.1
47,106090,117.5,,,,96.0
48,136847,115.5,,,,92.9
48,120074,115.5,,,,92.9
50,105255,115.5,,,,92.4
51,128839,114.5,,,,92.1
52,79930,114.5,,,,91.1
53,120072,115.0,,,,91.0
54,91802,115.0,,,,90.5
55,10086,114.5,,,,90.1
56,134707,113.5,,,,88.8
57,22230,113.5,,,,88.3
58,75174,114.0,,,,88.2
59,110528,113.0,,,,87.9
60,124118,113.0,,,,87.4
61,94238,111.5,,,,86.2
62,128113,112.0,,,,85.1
63,134485,112.0,,,,84.6
64,136243,109.0,,,,79.2
65,134705,107.5,,,,76.5
66,140329,105.5,,,,69.9
67,75427,102.0,,,,65.1
68,128110,101.0,,,,64.8
69,129421,87.5,,,,32.5
,150863,,,,,
,75428,,,,,
,97610,,,,,
,91618,,,,,
