mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,25074,130.0,142.1,,,142.1
2,126003,130.5,139.1,,,139.1
3,131309,127.5,137.6,,,137.6
4,100406,131.0,137.1,,,137.1
5,90236,125.5,134.5,,,134.5
6,38651,125.0,133.1,,,133.1
7,120379,125.0,131.4,,,131.4
8,973,126.5,130.8,,,130.8
9,13322,124.5,129.3,,,129.3
10,143980,130.0,128.9,,,128.9
11,117441,123.5,128.7,,,128.7
12,27594,123.0,128.5,,,128.5
13,124118,129.0,127.1,,,127.1
14,106377,124.0,126.3,,,126.3
15,124157,119.0,124.6,,,124.6
16,149215,130.0,124.2,,,124.2
17,135119,125.0,124.1,,,124.1
18,147549,127.5,122.9,,,122.9
19,139045,119.5,122.6,,,122.6
20,32297,128.5,121.6,,,121.6
21,136168,128.0,120.5,,,120.5
22,167385,120.5,118.6,,,118.6
23,111930,126.0,118.4,,,118.4
24,152956,122.5,118.2,,,118.2
25,147015,126.5,117.8,,,117.8
26,134127,124.5,116.7,,,116.7
27,10086,127.5,116.5,,,116.5
28,75148,117.5,115.5,,,115.5
29,138409,118.0,114.7,,,114.7
30,128788,111.5,109.4,,,109.4
31,117835,114.5,108.8,,,108.8
32,142646,114.5,108.2,,,108.2
33,78803,111.5,107.2,,,107.2
34,173399,113.0,104.6,,,104.6
35,92486,120.0,104.4,,,104.4
36,123925,119.5,102.8,,,102.8
37,174079,116.5,101.5,,,101.5
38,136813,109.5,101.1,,,101.1
39,102371,109.5,100.6,,,100.6
40,29236,113.5,99.9,,,99.9
41,175089,118.0,99.5,,,99.5
42,139964,111.5,99.2,,,99.2
43,188341,115.0,93.6,,,93.6
44,131935,114.0,92.9,,,92.9
45,75837,102.0,89.0,,,89.0
46,74412,113.0,85.4,,,85.4
47,174534,112.0,84.9,,,84.9
48,166472,99.0,83.1,,,83.1
49,156215,100.0,81.4,,,81.4
50,75176,105.0,80.6,,,80.6
51,68209,103.5,79.9,,,79.9
52,106257,95.0,71.7,,,71.7
53,68743,79.0,26.5,,,26.5
,156410,,,,,
,162674,,,,,
,130646,,,,,
,147547,,,,,
,140331,,,,,
