mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,124157,98.5,,102.5,,263.5
2,128518,97.5,,101.0,,258.5
3,117496,95.0,,98.0,,244.5
4,99976,96.5,,95.5,,242.5
5,117461,97.5,,93.5,,240.0
6,117837,94.0,,96.0,,239.0
7,128446,92.0,,98.0,,237.5
8,128286,91.5,,98.5,,237.0
9,109565,93.0,,94.5,,231.5
9,130649,95.0,,92.5,,231.5
11,117441,96.0,,91.0,,231.0
12,128296,95.0,,91.0,,229.5
13,124156,93.0,,92.5,,227.0
14,128788,93.0,,92.0,,225.0
15,157213,94.5,,89.5,,223.5
15,138192,94.5,,89.5,,223.5
17,134127,91.0,,89.5,,215.0
18,145524,94.0,,87.5,,214.0
19,108514,90.5,,89.0,,213.5
20,108006,89.5,,88.5,,210.0
20,128839,97.0,,81.0,,210.0
20,130650,93.5,,87.0,,210.0
23,124158,90.0,,86.0,,206.5
24,116086,85.0,,91.0,,206.0
25,130634,96.0,,83.0,,205.5
26,139121,90.0,,86.5,,204.5
27,132096,86.5,,88.5,,204.0
27,153114,91.0,,84.5,,204.0
29,112975,93.0,,82.0,,203.0
30,117499,88.0,,87.5,,202.0
31,131941,88.0,,87.0,,201.5
32,128783,89.0,,83.0,,196.5
32,138312,89.0,,83.0,,196.5
34,139429,82.5,,87.5,,192.5
34,120074,79.0,,91.0,,192.5
36,138425,79.0,,93.5,,190.5
37,152419,81.0,,89.5,,189.5
37,162531,85.5,,84.5,,189.5
37,138412,79.5,,89.5,,189.5
40,107972,81.5,,85.5,,184.5
41,128298,80.5,,85.5,,184.0
42,130647,89.0,,78.0,,182.0
43,117448,81.0,,84.0,,181.0
43,138302,80.0,,85.0,,181.0
45,105257,81.5,,83.0,,180.0
46,128448,89.5,,74.5,,178.0
47,117443,86.0,,79.5,,177.5
48,139118,69.0,,94.0,,174.5
49,123198,78.5,,85.5,,174.0
50,148062,81.5,,79.5,,172.5
51,116084,83.5,,77.5,,169.5
52,134485,78.5,,81.0,,169.0
53,128295,76.0,,83.0,,168.0
54,142929,75.0,,84.0,,166.5
55,94238,63.5,,96.0,,165.0
56,128402,71.0,,88.0,,163.5
57,131882,79.5,,77.5,,162.5
57,128621,78.5,,78.0,,162.5
59,129151,72.0,,83.5,,159.5
60,136168,76.0,,78.5,,153.5
61,138375,73.5,,77.5,,149.5
62,158238,69.5,,77.5,,137.0
63,131880,66.0,,65.0,,107.5
64,139195,56.0,,57.0,,59.0
65,153145,64.0,,,,49.0
66,136171,59.0,,,,40.0
