mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,72563,94.5,129.7,,,129.7
2,112735,95.5,129.6,,,129.6
3,112295,96.0,127.8,,,127.8
4,128286,95.5,127.7,,,127.7
5,157213,97.0,126.5,,,126.5
6,147547,92.5,126.3,,,126.3
7,135119,98.0,125.8,,,125.8
8,186516,94.0,125.2,,,125.2
8,104161,94.0,125.2,,,125.2
10,106377,95.5,124.4,,,124.4
11,131309,91.0,123.7,,,123.7
12,147549,94.0,123.3,,,123.3
13,117835,95.0,123.2,,,123.2
14,106378,91.5,121.7,,,121.7
15,73228,94.5,121.6,,,121.6
16,128618,92.0,121.2,,,121.2
17,27594,94.0,121.0,,,121.0
18,118113,95.0,120.4,,,120.4
19,162711,94.5,120.2,,,120.2
20,174244,91.0,119.8,,,119.8
21,973,95.0,119.7,,,119.7
22,73229,95.0,119.0,,,119.0
23,120379,99.5,118.7,,,118.7
24,72592,97.0,118.1,,,118.1
25,111930,90.5,117.5,,,117.5
26,73166,91.0,116.8,,,116.8
27,128456,93.5,116.0,,,116.0
28,108891,92.5,115.5,,,115.5
29,153777,92.0,114.8,,,114.8
30,29533,90.0,114.2,,,114.2
31,17013,92.5,114.1,,,114.1
32,174872,92.0,113.7,,,113.7
33,73277,89.5,112.6,,,112.6
33,73232,93.5,112.6,,,112.6
35,172117,93.5,111.0,,,111.0
36,139045,94.0,110.9,,,110.9
37,78803,91.0,110.8,,,110.8
38,75837,87.0,110.7,,,110.7
39,117450,90.0,110.6,,,110.6
40,126003,92.0,110.0,,,110.0
41,140329,87.0,108.4,,,108.4
42,122992,94.0,107.6,,,107.6
43,102483,93.5,107.1,,,107.1
44,71839,91.0,107.0,,,107.0
45,118061,90.5,106.5,,,106.5
46,128111,85.5,106.1,,,106.1
47,130646,91.0,106.0,,,106.0
48,100406,89.5,105.9,,,105.9
49,10086,87.0,105.5,,,105.5
50,90236,90.0,105.4,,,105.4
51,173399,92.5,104.6,,,104.6
52,68743,87.0,104.4,,,104.4
53,13322,89.0,102.0,,,102.0
54,25074,88.0,101.3,,,101.3
55,124118,83.5,97.7,,,97.7
56,38651,83.5,97.5,,,97.5
56,111251,85.5,97.5,,,97.5
58,68209,86.0,96.1,,,96.1
59,136813,85.0,94.4,,,94.4
60,154093,87.0,94.2,,,94.2
61,10064,84.0,91.8,,,91.8
62,74412,82.5,91.4,,,91.4
63,152956,82.5,87.4,,,87.4
64,156410,82.0,84.5,,,84.5
65,102371,77.5,70.0,,,70.0
66,32297,65.5,58.0,,,58.0
,134127,,,,,
,75176,,,,,
,140331,,,,,
,123925,,,,,
,180709,,,,,
,192465,,,,,
,167413,,,,,
