mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,73228,132.0,,130.0,,274.7
2,174244,131.0,,129.5,,270.8
3,123925,128.0,,133.0,,270.0
4,106378,133.0,,128.5,,268.4
5,2950,132.0,,129.0,,267.5
6,124157,127.5,,128.0,,264.2
7,140329,129.0,,130.0,,262.6
8,131309,127.0,,129.0,,262.3
9,35788,132.0,,126.0,,262.2
10,72592,127.5,,128.0,,259.4
11,73232,126.5,,127.0,,258.6
12,138409,126.5,,130.0,,258.3
13,128286,128.5,,130.0,,256.9
14,68743,133.0,,124.5,,254.3
15,27594,128.0,,125.5,,253.4
15,90236,120.0,,131.0,,253.4
17,973,131.5,,122.5,,253.0
17,111251,132.0,,122.5,,253.0
19,118113,124.5,,125.5,,252.8
20,72563,131.5,,121.0,,251.6
21,81301,122.5,,125.5,,245.7
22,38651,125.5,,119.5,,243.9
23,43223,126.0,,125.0,,242.4
24,120379,124.0,,124.0,,239.6
25,78803,120.0,,123.0,,237.2
26,106257,120.0,,119.5,,236.2
27,124118,123.0,,123.5,,234.6
28,113115,125.0,,120.5,,234.3
29,445,124.5,,116.5,,233.9
30,108891,123.0,,112.5,,222.0
31,128111,119.5,,,,116.9
32,128621,120.5,,,,116.0
33,132096,120.0,,,,115.9
34,157213,122.5,,,,114.0
35,32297,119.5,,,,113.6
36,135119,118.5,,,,112.9
37,55369,116.0,,,,110.8
38,75148,115.5,,,,110.3
39,13322,117.5,,,,110.2
40,134127,114.5,,,,107.5
41,99976,114.0,,,,107.0
42,102371,116.5,,,,106.7
43,25074,114.5,,,,106.3
44,112944,117.0,,,,104.8
45,71839,111.5,,,,104.0
46,128806,114.0,,,,103.1
47,128839,112.5,,,,100.8
48,75708,112.0,,,,100.4
49,31329,110.0,,,,96.7
,132745,,,,,
