mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,112735,98.0,136.0,99.0,142.2,278.2
2,131309,96.5,135.7,100.5,140.7,276.4
3,147549,96.5,134.5,99.5,138.0,272.5
4,104161,96.0,131.2,102.5,138.5,269.7
5,72563,94.0,129.3,99.5,139.8,269.1
6,128618,95.0,132.1,95.5,131.1,263.2
7,174244,95.0,130.7,96.0,130.5,261.2
8,117835,96.0,130.1,97.5,130.6,260.7
9,27594,97.0,129.4,98.0,131.2,260.6
10,73229,95.0,126.6,98.5,131.5,258.1
10,72592,94.0,126.7,101.0,131.4,258.1
12,186516,93.5,124.9,100.0,133.0,257.9
13,147547,90.0,121.3,103.0,136.0,257.3
14,128286,91.5,124.6,98.5,131.3,255.9
15,140331,99.5,132.3,93.0,122.8,255.1
16,973,95.0,126.9,100.0,127.4,254.3
17,29533,92.5,124.7,99.0,128.7,253.4
18,73277,95.5,126.6,96.5,126.0,252.6
19,117450,94.0,127.2,97.5,125.2,252.4
20,106378,94.0,125.9,94.0,122.2,248.1
21,108891,93.0,123.7,93.0,124.1,247.8
22,73166,95.0,126.1,94.5,120.8,246.9
22,17013,93.5,122.8,95.0,124.1,246.9
24,157213,93.5,125.2,95.5,119.1,244.3
25,25074,94.0,120.9,92.0,119.3,240.2
26,75837,92.0,119.6,90.0,120.1,239.7
27,106377,90.0,119.0,94.5,120.1,239.1
28,128111,94.0,123.0,90.0,115.4,238.4
29,128456,91.5,119.1,89.0,114.3,233.4
30,32297,94.0,120.0,83.0,101.9,221.9
31,162711,92.0,118.9,,,118.9
32,13322,92.0,118.3,,,118.3
33,123925,93.0,117.7,,,117.7
34,118113,91.0,117.0,,,117.0
35,172117,90.0,116.8,,,116.8
36,111251,91.5,116.7,,,116.7
37,68743,92.0,116.5,,,116.5
37,100406,91.0,116.5,,,116.5
39,124118,90.0,115.9,,,115.9
40,73232,90.5,113.7,,,113.7
41,134127,90.5,113.6,,,113.6
41,78803,90.5,113.6,,,113.6
43,122992,90.0,112.4,,,112.4
44,71839,87.5,111.1,,,111.1
45,126003,89.0,110.5,,,110.5
46,90236,88.0,109.3,,,109.3
47,73228,87.5,109.2,,,109.2
48,10086,87.0,103.5,,,103.5
49,68209,84.0,98.0,,,98.0
,112295,,,,,
