mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,117835,136.5,,139.5,,277.3
2,149499,135.5,,137.5,,270.4
3,55369,136.0,,135.0,,267.3
4,75708,136.0,,135.5,,266.7
5,128618,134.0,,138.0,,264.6
6,140329,135.0,,134.0,,263.7
7,134879,137.0,,132.0,,262.2
8,99968,133.5,,135.0,,261.8
9,124280,133.0,,134.0,,259.6
10,99979,129.5,,138.0,,259.5
11,106375,135.0,,133.0,,259.4
12,124307,130.5,,138.5,,257.7
13,115912,132.0,,135.0,,256.6
14,80230,129.5,,134.5,,255.2
15,110986,131.5,,133.5,,255.0
16,123192,134.5,,128.5,,252.4
17,128446,134.0,,129.5,,251.3
18,54724,132.0,,129.0,,245.8
19,117450,130.0,,130.0,,245.5
20,157213,129.0,,130.5,,244.6
21,94124,132.5,,126.5,,242.7
22,105255,129.0,,129.5,,241.3
23,82808,129.5,,129.0,,240.3
24,72581,129.0,,127.5,,239.2
25,94238,129.0,,128.0,,237.1
26,38651,128.0,,127.0,,233.5
27,112735,128.0,,124.0,,228.1
28,138409,127.5,,120.5,,219.9
29,99966,137.5,,87.0,,170.6
30,117441,130.0,,141.5,,121.5
31,82747,126.5,,,,114.7
32,60191,126.0,,,,114.3
33,108514,126.0,,,,113.3
34,73232,126.0,,,,112.8
34,130644,126.0,,,,112.8
36,144566,125.5,,,,112.4
37,51194,125.0,,,,111.0
37,122690,125.0,,,,111.0
37,108867,125.0,,,,111.0
40,99967,125.5,,,,110.9
41,108006,125.0,,,,110.0
42,117461,124.0,,,,109.7
43,116086,123.5,,,,109.3
44,138379,123.0,,,,108.4
45,128113,120.5,,,,102.9
45,118061,120.5,,,,102.9
45,113128,120.5,,,,102.9
48,92170,121.0,,,,102.8
49,128806,120.0,,,,101.5
50,120072,119.5,,,,101.1
51,106090,119.0,,,,100.2
52,92486,118.5,,,,98.8
53,116084,118.0,,,,96.9
54,93860,116.5,,,,94.2
55,123469,116.5,,,,93.7
56,112975,115.5,,,,92.4
57,73141,116.0,,,,92.3
58,134127,113.5,,,,88.8
59,129421,112.0,,,,84.6
60,120404,112.5,,,,82.0
61,105244,120.5,,,,80.4
62,131312,109.0,,,,75.2
63,144565,105.0,,,,71.5
64,97463,105.5,,,,69.4
65,120074,101.5,,,,65.2
66,128839,89.5,,,,40.6
