mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,117461,94.5,,94.0,,245.8
2,132096,92.0,,94.0,,245.0
3,106375,90.5,,94.0,,239.8
4,108891,92.5,,94.5,,239.6
5,99976,91.0,,93.0,,238.9
5,164621,90.0,,93.0,,238.9
7,139429,89.5,,94.5,,236.9
8,117441,91.0,,92.0,,235.6
9,117450,90.5,,91.5,,234.7
10,156838,89.0,,93.0,,234.2
11,99978,93.0,,89.5,,232.9
12,106377,89.0,,92.0,,230.8
13,92737,89.0,,89.0,,228.8
14,128402,90.5,,88.5,,228.2
15,108516,87.5,,94.0,,228.0
16,117451,87.0,,92.0,,227.3
17,156931,88.0,,90.5,,226.8
18,149455,86.5,,92.5,,226.1
19,13322,90.0,,90.5,,226.0
20,118061,89.5,,89.0,,225.5
21,109565,87.5,,91.5,,224.6
22,94238,87.5,,91.0,,223.3
23,73229,88.0,,90.0,,222.2
24,128558,87.5,,89.0,,221.0
24,143980,89.0,,89.5,,221.0
26,147017,87.0,,89.0,,218.4
26,128281,88.0,,89.5,,218.4
28,162674,87.5,,88.5,,217.1
29,192462,89.0,,85.0,,215.6
30,130646,87.0,,87.5,,214.8
31,128806,86.5,,,,107.1
32,128788,87.0,,,,105.5
33,139237,87.0,,,,105.2
34,166472,84.5,,,,101.7
35,121679,84.5,,,,100.7
36,139045,84.0,,,,100.6
37,108894,84.5,,,,99.2
38,186686,85.0,,,,96.4
39,110528,82.5,,,,95.7
40,100198,83.0,,,,94.6
41,128210,81.0,,,,93.8
42,143883,81.5,,,,93.6
43,165254,82.5,,,,93.4
44,131883,82.0,,,,93.0
44,166475,82.5,,,,93.0
46,192144,81.0,,,,92.3
47,207794,78.5,,,,87.4
48,144610,77.5,,,,82.6
49,174195,79.0,,,,82.4
50,162226,72.0,,,,72.8
,92162,,,,,
,118117,,,,,
,120072,,,,,
,166473,,,,,
