mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,72563,132.0,137.7,135.5,138.0,275.7
2,131309,130.0,134.8,138.0,140.6,275.4
3,142646,128.5,134.9,135.5,130.4,265.3
4,29533,131.5,133.4,133.5,129.8,263.2
5,73228,131.5,136.5,123.5,119.4,255.9
6,73232,131.0,132.8,128.5,122.0,254.8
7,117441,131.0,129.8,126.0,122.6,252.4
8,73277,134.5,134.5,126.0,116.0,250.5
9,147549,126.0,123.2,130.0,124.3,247.5
10,128286,127.0,126.0,126.5,120.5,246.5
11,124118,128.0,123.3,128.0,121.9,245.2
12,75837,128.0,125.8,124.5,119.1,244.9
13,117835,129.5,128.3,126.5,116.3,244.6
14,90663,120.5,116.9,130.5,126.6,243.5
15,973,130.0,121.7,128.5,117.9,239.6
16,2950,131.0,130.3,121.0,109.1,239.4
17,106378,130.0,127.6,118.0,109.0,236.6
18,120379,126.0,122.5,123.0,110.5,233.0
19,126003,125.0,119.0,125.0,112.9,231.9
20,112735,128.0,122.1,121.5,107.9,230.0
21,17013,122.5,111.3,124.0,118.3,229.6
22,12274,121.0,113.1,126.0,116.1,229.2
23,73166,126.0,118.3,120.0,107.1,225.4
24,445,121.5,111.0,124.0,113.2,224.2
25,174244,126.0,115.6,117.5,107.2,222.8
26,13322,122.0,112.2,121.0,109.6,221.8
27,63739,120.0,107.5,123.5,110.9,218.4
28,123925,130.0,125.4,123.0,92.0,217.4
29,10086,119.0,107.2,120.0,105.7,212.9
30,72592,123.0,108.4,112.5,96.6,205.0
31,27594,117.5,107.0,,,107.0
32,156410,121.0,106.4,,,106.4
33,128448,118.5,106.3,,,106.3
34,43223,115.0,104.9,,,104.9
35,128456,116.0,104.0,,,104.0
36,135119,120.0,103.4,,,103.4
37,104161,114.0,103.1,,,103.1
38,164621,116.0,102.2,,,102.2
39,131935,117.0,100.2,,,100.2
40,128618,113.5,98.1,,,98.1
41,100406,114.0,96.3,,,96.3
42,124157,115.0,94.3,,,94.3
43,111930,111.0,93.5,,,93.5
44,117496,114.0,93.0,,,93.0
44,152956,112.0,93.0,,,93.0
46,38651,110.0,91.7,,,91.7
47,75148,109.0,88.0,,,88.0
48,32297,113.5,86.0,,,86.0
49,106377,109.5,85.5,,,85.5
50,102371,108.0,82.4,,,82.4
