mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,72592,101.0,125.7,,,125.7
2,180727,100.0,123.3,,,123.3
3,128621,97.0,122.3,,,122.3
4,111251,96.5,121.8,,,121.8
5,117441,101.0,120.1,,,120.1
6,180709,101.0,117.5,,,117.5
7,166437,95.5,116.1,,,116.1
8,134127,96.0,116.0,,,116.0
9,128618,96.0,115.8,,,115.8
10,100406,100.0,115.7,,,115.7
11,117496,95.0,115.6,,,115.6
12,117450,95.5,114.9,,,114.9
12,153777,95.0,114.9,,,114.9
14,108891,96.0,114.4,,,114.4
15,106377,95.5,114.1,,,114.1
16,128456,94.0,112.8,,,112.8
16,128402,95.0,112.8,,,112.8
18,136813,94.0,112.7,,,112.7
19,90236,94.0,112.6,,,112.6
20,13322,94.5,112.3,,,112.3
20,973,95.5,112.3,,,112.3
22,147015,95.5,112.2,,,112.2
23,192465,95.0,112.1,,,112.1
24,120379,94.0,111.8,,,111.8
25,131935,95.0,111.3,,,111.3
26,71839,93.5,110.2,,,110.2
27,149455,92.5,109.3,,,109.3
28,117097,93.0,108.8,,,108.8
29,156410,93.5,108.1,,,108.1
30,122992,91.5,108.0,,,108.0
31,128788,92.0,107.7,,,107.7
32,128806,92.5,107.3,,,107.3
33,161594,93.5,106.4,,,106.4
34,73232,89.5,105.7,,,105.7
35,126003,90.5,104.0,,,104.0
36,12274,91.0,102.1,,,102.1
37,166045,91.5,100.4,,,100.4
38,75176,90.5,99.3,,,99.3
39,92486,89.0,99.1,,,99.1
40,138409,88.0,99.0,,,99.0
41,108867,88.0,96.5,,,96.5
42,30417,85.5,94.1,,,94.1
43,174534,87.0,93.5,,,93.5
44,10064,81.5,83.3,,,83.3
45,165235,77.0,75.5,,,75.5
,102371,,,,,
