mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,147015,131.5,,138.5,,276.7
2,130646,129.0,,136.0,,271.0
3,106257,131.5,,130.5,,270.4
4,73232,129.0,,137.0,,270.1
5,166447,134.0,,134.5,,268.9
6,171479,135.0,,134.0,,268.7
7,147016,131.5,,130.5,,268.4
8,128447,132.5,,133.0,,266.3
9,175089,132.5,,132.0,,259.3
10,117441,130.0,,129.0,,259.1
11,120379,131.0,,129.5,,258.6
12,180709,129.0,,128.0,,257.7
13,192465,131.0,,129.5,,257.3
14,128448,127.5,,128.0,,255.1
15,179422,127.5,,126.0,,253.4
16,99976,127.5,,131.0,,251.5
17,124157,125.5,,127.5,,248.8
18,156838,124.0,,126.5,,244.5
19,175050,125.5,,126.5,,244.1
20,102483,127.5,,123.0,,244.0
20,117496,124.0,,126.5,,244.0
22,123925,125.5,,127.5,,243.9
23,149455,128.5,,123.0,,242.9
24,174572,126.0,,120.5,,242.3
25,167413,127.0,,119.0,,241.4
26,25074,126.5,,125.0,,239.6
27,157213,126.5,,118.0,,239.0
28,138181,124.5,,118.5,,236.5
29,143981,123.5,,122.0,,232.4
30,138197,123.0,,121.0,,231.4
31,174534,123.0,,,,118.9
32,164624,123.5,,,,117.7
33,142646,125.5,,,,117.6
34,143980,122.5,,,,117.5
35,43223,125.5,,,,116.8
36,118061,125.0,,,,115.8
37,131524,122.5,,,,115.7
38,132096,123.5,,,,115.4
39,161594,124.0,,,,115.2
40,166472,120.0,,,,114.6
40,182038,121.5,,,,114.6
42,167385,121.5,,,,114.0
43,196315,119.0,,,,113.0
44,188590,119.5,,,,112.9
45,139429,123.0,,,,112.1
45,135583,119.0,,,,112.1
47,29034,121.0,,,,110.6
48,100198,118.0,,,,108.2
49,165925,119.0,,,,107.5
50,136242,116.5,,,,107.1
51,92737,118.0,,,,107.0
52,154090,117.5,,,,106.7
53,166473,118.0,,,,105.9
54,128806,116.0,,,,105.3
55,136172,117.0,,,,104.6
56,152956,115.0,,,,103.8
57,81305,116.5,,,,102.9
58,171539,113.0,,,,99.6
59,166263,109.0,,,,90.6
60,170864,108.0,,,,90.0
61,143883,108.5,,,,87.4
62,165235,106.0,,,,84.1
63,186686,105.5,,,,84.0
,139237,,,,,
