mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,131309,131.5,125.9,139.5,141.5,267.4
2,117835,130.0,123.6,133.5,136.8,260.4
3,147549,127.5,115.8,140.0,138.0,253.8
4,162711,123.5,112.2,135.0,141.4,253.6
5,147547,123.0,107.7,136.5,135.2,242.9
6,73228,124.5,111.6,136.0,130.4,242.0
7,124118,127.0,115.8,129.0,121.5,237.3
8,140329,119.5,100.5,134.0,129.1,229.6
9,112735,127.0,113.4,123.0,114.9,228.3
10,174244,132.5,123.8,119.5,104.3,228.1
11,112295,124.5,108.8,129.0,118.7,227.5
12,72563,124.0,104.6,131.5,120.8,225.4
13,973,128.5,108.7,125.5,116.4,225.1
14,17013,126.5,109.5,126.0,114.1,223.6
15,25074,123.5,104.1,125.5,111.5,215.6
16,32297,117.5,98.4,125.0,114.3,212.7
17,73232,120.0,100.3,127.0,111.0,211.3
18,118113,124.5,103.3,126.0,107.4,210.7
19,120379,120.0,101.3,122.0,103.1,204.4
20,140331,126.0,114.0,112.0,88.0,202.0
21,111251,119.5,92.7,123.0,106.1,198.8
22,117450,116.5,95.9,119.0,101.2,197.1
23,134127,113.5,91.9,122.0,104.7,196.6
24,71839,115.0,94.1,119.5,100.7,194.8
25,108891,116.5,94.1,117.5,100.1,194.2
26,27594,117.5,98.7,116.5,93.1,191.8
27,128286,118.5,99.7,110.5,89.3,189.0
28,29034,117.0,92.8,111.0,82.1,174.9
29,130646,119.5,99.2,99.5,62.3,161.5
30,75837,126.0,110.7,78.0,28.4,139.1
31,153777,114.0,91.7,,,91.7
32,104161,115.0,91.4,,,91.4
33,135119,114.5,88.1,,,88.1
34,38651,117.5,88.0,,,88.0
35,72592,113.5,87.6,,,87.6
36,132745,112.5,86.8,,,86.8
37,128111,111.5,84.8,,,84.8
38,128788,105.0,82.8,,,82.8
39,149215,112.5,82.2,,,82.2
40,117097,107.5,81.7,,,81.7
41,74412,110.0,81.4,,,81.4
42,128618,104.0,80.2,,,80.2
43,68209,106.5,77.5,,,77.5
44,157213,105.0,74.2,,,74.2
45,90236,100.5,71.6,,,71.6
46,172117,102.0,71.0,,,71.0
47,123925,101.0,69.8,,,69.8
48,192144,100.0,67.2,,,67.2
49,165747,85.0,38.8,,,38.8
50,92486,81.0,32.3,,,32.3
