mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,166437,95.0,,96.5,,249.0
2,186516,95.0,,95.5,,245.0
3,155620,96.5,,94.0,,244.8
4,174572,96.5,,94.5,,240.7
5,174516,90.5,,92.5,,230.6
6,166447,94.0,,90.5,,226.4
7,180727,88.5,,92.0,,226.1
8,166045,91.0,,90.0,,222.9
9,175837,88.0,,90.0,,222.8
10,179422,92.5,,88.5,,222.2
11,173399,91.5,,88.5,,222.1
12,165925,93.0,,89.0,,220.5
13,181633,91.0,,88.5,,219.3
14,166472,95.0,,86.0,,219.2
15,174872,90.0,,88.0,,218.4
16,162711,89.0,,90.0,,218.0
17,180709,90.5,,87.5,,217.2
18,175089,90.0,,89.0,,214.3
18,182557,87.5,,85.0,,214.3
20,166435,91.5,,87.0,,213.6
21,160506,87.5,,89.5,,212.5
22,185562,88.5,,84.5,,211.1
23,149438,90.0,,88.5,,211.0
24,166473,91.5,,86.0,,210.4
25,180887,86.5,,88.5,,208.5
26,174870,88.0,,88.5,,208.0
27,171479,88.5,,83.0,,207.8
28,182446,87.0,,85.0,,204.7
29,196315,88.0,,85.5,,204.6
30,174534,92.0,,82.0,,202.2
31,128331,86.5,,,,104.1
32,147016,89.0,,,,103.8
33,174348,88.0,,,,102.4
34,166263,87.0,,,,101.9
35,185847,85.5,,,,101.2
36,182059,85.5,,,,100.6
37,180889,87.5,,,,98.4
38,180692,87.0,,,,98.1
39,178315,83.5,,,,96.9
40,202749,86.5,,,,96.2
41,171539,85.0,,,,92.4
42,186686,82.5,,,,91.9
43,182074,84.0,,,,90.7
44,175090,85.0,,,,90.4
45,171350,80.0,,,,89.4
46,151262,81.5,,,,89.2
47,165254,83.0,,,,87.9
48,196057,80.0,,,,87.5
49,190011,80.0,,,,85.8
50,147022,80.5,,,,85.7
51,202352,77.5,,,,83.3
52,198313,75.5,,,,81.9
53,181018,76.5,,,,81.1
54,182033,77.0,,,,74.1
55,172772,77.5,,,,70.8
56,198312,74.0,,,,70.5
57,196962,72.0,,,,70.2
58,178038,71.5,,,,67.2
59,151263,71.5,,,,66.2
60,177991,68.0,,,,62.3
61,188930,60.5,,,,43.0
62,180611,57.0,,,,35.9
63,188931,66.0,,,,34.8
64,184139,49.0,,,,17.3
,183158,,,,,
,205430,,,,,
