mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,162711,106.0,,105.5,,274.5
2,166447,106.5,,100.5,,264.5
3,164621,101.0,,103.5,,260.0
4,156931,100.0,,103.0,,256.0
5,138339,103.0,,98.5,,252.5
6,171479,105.0,,95.5,,251.5
7,147014,102.0,,98.5,,250.5
8,158181,102.5,,97.0,,247.5
9,164617,100.0,,99.5,,246.5
9,172302,100.0,,99.0,,246.5
11,138425,100.5,,99.0,,244.5
11,147015,104.5,,94.5,,244.5
13,156838,98.0,,99.0,,243.0
14,171559,100.5,,96.5,,242.0
15,147499,99.5,,97.0,,241.5
16,171487,99.0,,99.5,,241.0
17,154664,100.5,,96.0,,240.5
17,157712,96.0,,101.0,,240.5
19,166435,99.5,,96.5,,239.5
20,147016,95.0,,101.0,,239.0
21,147724,99.5,,96.5,,235.5
21,147701,100.0,,95.0,,235.5
23,147017,99.5,,95.0,,234.5
23,175070,95.5,,98.5,,234.5
23,138410,101.5,,93.0,,234.5
26,175837,99.0,,95.5,,232.5
27,153777,99.5,,93.0,,232.0
27,166045,96.0,,96.0,,232.0
29,145303,97.0,,95.0,,231.5
30,157212,94.5,,97.5,,230.0
31,165908,94.0,,97.5,,229.0
32,138197,96.0,,95.0,,228.0
33,153841,95.5,,94.0,,223.5
34,173117,96.0,,92.5,,223.0
35,166437,97.0,,95.5,,222.5
36,148058,93.5,,94.0,,221.5
37,174959,95.5,,92.5,,220.0
38,138411,94.5,,93.0,,217.0
39,180760,93.5,,92.5,,215.0
40,128284,93.5,,92.0,,214.0
40,174134,92.0,,93.0,,214.0
42,145300,95.0,,90.0,,213.0
43,139195,94.0,,93.0,,211.0
44,186516,92.5,,92.0,,210.5
45,145302,91.0,,92.0,,206.0
46,156429,91.0,,90.5,,205.5
47,181632,88.0,,94.5,,203.5
48,165907,91.5,,89.5,,200.5
49,180707,90.0,,89.5,,199.0
50,148055,90.5,,89.5,,197.5
51,164610,90.5,,89.5,,195.5
52,174955,84.0,,89.5,,183.5
53,175050,87.5,,85.5,,183.0
54,148547,86.5,,84.5,,180.0
55,174682,88.5,,84.0,,179.5
56,174954,87.5,,83.5,,179.0
57,165872,85.5,,84.5,,177.0
58,175090,85.0,,84.0,,174.0
59,174534,84.5,,83.5,,171.5
60,186567,84.5,,79.5,,165.0
61,131303,88.0,,72.5,,150.0
62,175933,78.5,,73.0,,136.0
63,171539,79.0,,73.0,,132.0
64,174199,71.0,,75.0,,123.0
65,139193,76.0,,71.0,,122.5
66,171603,59.5,,50.5,,44.5
,136172,,,,,
