mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,35788,94.5,,95.0,,248.0
2,106376,91.5,,95.0,,245.5
3,73143,90.5,,86.5,,221.5
4,82746,89.0,,88.0,,221.0
5,123192,89.5,,86.5,,220.0
6,72581,89.0,,86.5,,219.5
7,106378,88.0,,96.5,,216.5
8,28940,87.5,,86.0,,216.0
9,68746,84.5,,88.5,,215.0
10,4062,85.5,,89.0,,214.5
11,25074,84.5,,88.5,,213.0
12,48335,87.0,,85.5,,212.5
13,102251,87.5,,85.0,,211.0
14,57041,84.0,,88.0,,209.0
15,75179,83.0,,88.0,,207.5
16,25115,83.0,,87.5,,207.0
16,73240,83.5,,87.5,,207.0
18,39390,81.0,,89.0,,206.0
19,80229,86.5,,83.0,,203.0
20,73136,82.5,,86.5,,202.0
21,5791,85.0,,83.5,,201.0
21,35646,81.0,,87.0,,201.0
23,47891,86.0,,81.0,,199.0
24,72592,83.0,,84.0,,198.0
25,54724,81.0,,86.0,,197.5
26,39826,81.0,,86.0,,196.0
27,28737,80.0,,85.0,,194.5
28,80230,81.5,,81.5,,189.0
29,73238,80.5,,82.0,,186.5
30,73920,80.5,,75.0,,171.0
31,80221,79.5,,,,91.0
31,108009,80.0,,,,91.0
33,78807,79.5,,,,90.0
34,61496,80.5,,,,89.0
34,63283,79.0,,,,89.0
36,29236,78.5,,,,86.0
37,94910,77.5,,,,84.5
38,97463,78.0,,,,84.0
38,79930,77.0,,,,84.0
40,72563,77.0,,,,83.5
41,92162,76.5,,,,83.0
42,108895,76.0,,,,82.0
42,80219,76.5,,,,82.0
44,60191,75.5,,,,81.0
44,73918,76.0,,,,81.0
46,68761,75.5,,,,80.0
47,93860,77.0,,,,79.5
48,111250,74.0,,,,76.0
49,78708,72.5,,,,73.5
50,68737,72.0,,,,72.5
51,78727,72.0,,,,72.0
52,73786,71.5,,,,71.0
53,112973,71.0,,,,69.5
54,112294,69.5,,,,67.5
55,150863,69.0,,,,65.0
56,123597,68.5,,,,63.5
57,95155,67.5,,,,62.5
58,92157,66.5,,,,59.5
59,73785,68.0,,,,58.5
60,112560,66.5,,,,56.5
60,97610,65.5,,,,56.5
62,92181,64.5,,,,51.0
62,108894,72.0,,,,51.0
64,128113,60.0,,,,41.0
,101323,,,,,
