mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,75837,230.5,208.9,244.0,227.5,436.4
2,131309,236.5,216.1,233.5,217.5,433.6
3,142646,230.5,210.3,226.5,207.9,418.2
4,128286,229.5,205.5,229.5,210.2,415.7
5,73228,235.0,212.2,222.5,200.3,412.5
6,117835,225.0,201.0,232.0,209.1,410.1
7,72563,222.5,202.0,226.0,207.9,409.9
8,29533,223.5,199.3,229.0,206.2,405.5
9,106378,228.5,206.1,218.0,194.9,401.0
10,73232,222.5,194.1,220.5,197.4,391.5
11,140329,226.0,201.4,214.0,185.3,386.7
12,73166,207.5,183.1,217.5,195.3,378.4
13,32297,214.5,184.6,214.5,190.0,374.6
14,136813,209.0,176.7,213.0,187.4,364.1
15,147549,210.0,180.6,209.0,182.7,363.3
16,17013,218.0,188.3,206.0,171.9,360.2
17,112295,211.5,181.9,203.5,174.8,356.7
18,12274,207.5,180.9,201.5,173.5,354.4
19,43223,206.5,173.3,210.5,180.8,354.1
20,13322,206.0,175.9,202.5,172.3,348.2
21,90663,204.5,171.5,206.0,175.7,347.2
22,117441,196.0,167.7,206.5,175.2,342.9
23,128618,198.5,165.9,205.0,173.3,339.2
24,104161,205.5,175.7,197.0,162.7,338.4
25,131935,190.5,158.2,202.0,167.4,325.6
26,106377,192.5,161.3,197.0,163.7,325.0
27,124118,197.0,160.9,198.0,162.1,323.0
28,73277,194.5,164.4,192.5,156.8,321.2
29,135119,193.5,158.0,196.0,158.3,316.3
30,117496,186.5,150.1,192.5,154.6,304.7
31,117450,185.0,146.2,,,146.2
