mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,72592,136.0,,,,124.5
2,139964,142.0,,,,124.1
3,75837,138.5,,,,123.6
4,73166,145.0,,,,123.0
5,73232,144.5,,,,120.8
6,128286,135.5,,,,120.3
7,117835,133.0,,,,118.6
8,111251,135.5,,,,117.4
9,113115,138.5,,,,116.3
10,65420,138.5,,,,115.9
11,12274,134.0,,,,113.7
12,124118,132.0,,,,113.1
13,118113,135.5,,,,112.9
14,73229,133.0,,,,111.7
15,38651,131.0,,,,111.5
16,104161,125.5,,,,110.3
17,106377,129.0,,,,110.1
18,117441,134.5,,,,108.2
19,106257,131.0,,,,107.6
20,27594,129.5,,,,107.5
21,131935,134.0,,,,107.4
22,445,127.5,,,,106.6
23,43223,125.0,,,,105.1
24,68743,126.5,,,,104.8
25,148842,124.5,,,,104.3
26,108894,124.0,,,,103.9
27,17013,125.5,,,,103.2
28,112295,123.0,,,,102.8
29,123053,129.5,,,,100.5
30,110540,128.0,,,,99.8
31,128806,126.0,,,,99.3
32,90236,121.5,,,,97.7
33,138409,120.5,,,,95.6
34,112944,121.0,,,,95.5
35,128618,121.0,,,,93.6
36,140331,123.5,,,,93.2
37,71839,119.0,,,,92.3
38,132745,120.0,,,,91.1
39,75708,121.5,,,,90.4
40,75148,120.0,,,,90.3
41,123469,114.0,,,,90.2
42,108867,119.5,,,,89.7
43,111930,118.0,,,,87.0
44,128111,116.0,,,,86.9
44,30417,115.0,,,,86.9
46,10064,120.0,,,,86.1
47,92412,109.5,,,,78.7
48,94124,110.0,,,,74.1
49,63739,109.5,,,,73.7
