mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,192465,131.0,,123.0,,243.4
2,165925,133.0,,118.5,,243.3
3,147015,130.5,,124.0,,241.3
4,73229,125.5,,128.5,,238.7
5,71839,125.5,,123.5,,238.4
6,128331,125.0,,123.5,,235.7
7,180727,125.0,,124.0,,230.0
8,120379,123.5,,126.0,,229.3
9,123925,125.5,,122.5,,226.7
10,139237,125.0,,121.0,,219.4
11,162711,121.5,,118.0,,215.7
12,174572,124.5,,120.0,,214.5
13,99978,127.5,,114.5,,213.0
14,128402,124.5,,118.0,,211.8
15,138181,123.5,,118.0,,211.4
16,109565,128.5,,124.0,,211.3
17,118061,124.5,,116.0,,209.3
18,132096,121.0,,116.0,,209.0
19,167385,118.5,,118.5,,207.8
20,174516,122.0,,115.5,,201.4
21,118116,116.0,,110.0,,200.3
22,164621,122.0,,114.0,,199.0
23,153114,120.0,,113.5,,198.2
24,92737,118.0,,113.0,,197.5
25,174246,119.0,,113.0,,197.4
26,128806,118.5,,114.5,,197.2
27,132745,121.5,,110.0,,193.3
28,136139,120.5,,102.0,,193.2
29,165074,116.0,,126.5,,177.5
30,148099,128.5,,112.5,,165.8
31,135583,122.5,,,,118.2
32,134879,125.5,,,,103.4
33,134707,113.0,,,,100.5
34,161594,123.0,,,,98.9
35,180709,122.5,,,,97.9
36,135817,121.5,,,,97.7
37,166437,114.0,,,,97.6
38,175089,118.0,,,,95.7
39,166045,113.5,,,,95.2
40,102483,112.5,,,,90.8
40,154664,110.0,,,,90.8
42,94253,111.5,,,,90.2
43,145300,121.0,,,,90.1
44,170864,116.0,,,,88.0
45,143981,121.0,,,,87.0
46,128281,115.5,,,,85.2
47,128561,106.5,,,,84.7
48,156838,115.0,,,,84.5
49,128447,112.5,,,,83.5
50,131524,107.0,,,,78.5
51,136172,107.5,,,,72.7
52,186516,103.0,,,,68.5
,181018,,,,,
,174248,,,,,
