mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,68745,119.5,,129.0,,236.7
2,101217,128.5,,129.5,,235.3
3,106378,121.5,,129.0,,231.4
4,72563,128.0,,128.5,,231.2
5,108891,128.0,,128.0,,226.0
6,73277,121.0,,126.5,,224.2
7,32297,132.0,,122.5,,222.8
8,128618,121.5,,124.0,,222.7
9,73228,124.5,,125.5,,216.8
10,73289,122.0,,119.0,,207.2
11,117835,120.0,,121.5,,204.4
12,118113,119.0,,120.0,,202.2
13,134802,118.5,,117.5,,202.1
14,25074,120.0,,119.0,,201.7
15,118117,121.0,,118.0,,196.8
16,31329,113.0,,124.0,,194.8
17,2950,113.0,,121.5,,191.9
17,111251,119.0,,116.0,,191.9
19,35788,119.0,,111.0,,191.0
20,25115,118.5,,115.0,,190.8
21,73141,113.5,,125.0,,190.2
22,73229,112.5,,115.5,,187.9
23,102486,116.5,,115.5,,187.7
24,128558,114.0,,120.5,,186.8
25,27594,123.5,,109.5,,186.1
25,75708,122.0,,114.5,,186.1
27,131309,111.0,,113.5,,173.1
28,54682,121.5,,97.0,,171.8
29,118116,119.5,,103.0,,166.5
30,90236,114.5,,106.0,,165.5
31,29975,112.5,,,,89.7
32,55369,115.5,,,,89.6
33,51865,110.5,,,,88.8
34,100406,113.0,,,,88.2
35,75837,111.0,,,,86.8
36,123925,110.5,,,,86.6
37,111930,108.0,,,,86.1
38,82727,106.5,,,,81.9
39,29533,106.5,,,,81.4
40,39390,105.0,,,,79.3
41,136813,104.5,,,,78.9
42,94124,109.5,,,,75.2
43,92162,104.5,,,,74.5
44,99965,103.0,,,,72.0
45,78558,101.0,,,,69.3
46,73232,97.0,,,,64.7
47,110540,96.5,,,,61.6
48,128224,86.5,,,,47.0
,126003,,,,,
,128281,,,,,
