mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,73166,102.0,,,,123.4
2,32297,102.0,,,,122.2
3,62975,102.5,,,,121.0
4,73232,101.0,,,,119.9
5,90663,100.0,,,,119.0
6,35788,99.5,,,,117.7
7,25074,100.0,,,,116.8
8,71839,96.0,,,,112.6
9,54682,98.0,,,,112.5
10,2950,96.5,,,,112.2
10,110540,97.0,,,,112.2
12,99965,98.5,,,,111.7
13,134802,97.0,,,,111.3
14,111930,97.0,,,,109.6
15,112944,96.5,,,,108.6
16,63739,96.5,,,,108.2
17,131309,95.0,,,,108.1
18,90236,98.0,,,,107.9
19,9834,95.0,,,,105.3
19,27594,94.5,,,,105.3
21,445,95.5,,,,105.2
22,81305,94.5,,,,104.0
23,55369,92.0,,,,103.7
24,128280,94.0,,,,102.9
25,92162,92.5,,,,102.3
26,73277,91.5,,,,102.0
27,101217,92.0,,,,100.3
28,32824,92.0,,,,100.0
29,29533,92.0,,,,99.6
30,128839,91.0,,,,96.8
31,68209,90.0,,,,94.3
32,112975,88.5,,,,93.5
33,94125,91.5,,,,89.9
34,94238,88.5,,,,88.5
34,13322,89.0,,,,88.5
36,104161,87.0,,,,87.9
37,100406,86.5,,,,87.4
38,91802,87.0,,,,84.8
39,91618,84.5,,,,84.7
40,110528,86.0,,,,84.0
41,12274,84.5,,,,81.9
41,116191,87.0,,,,81.9
43,30417,84.5,,,,81.4
44,135583,84.5,,,,81.2
45,129421,84.5,,,,80.9
46,10064,82.0,,,,77.0
47,94124,83.5,,,,76.1
48,110907,82.5,,,,74.8
48,97463,85.0,,,,74.8
50,97610,79.0,,,,73.4
51,102371,76.0,,,,71.6
52,73243,79.0,,,,71.1
53,131883,79.5,,,,70.1
54,120374,77.0,,,,60.6
,120495,,,,,
,78803,,,,,
