mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,73228,135.5,142.2,128.0,129.5,271.7
2,147547,128.5,131.9,134.5,138.6,270.5
3,186516,130.0,136.4,132.0,134.0,270.4
4,128286,126.5,127.7,129.5,131.8,259.5
5,118113,130.0,136.2,122.0,117.6,253.8
6,128618,127.0,130.2,122.0,123.0,253.2
6,147549,130.0,127.5,126.0,125.7,253.2
8,106378,135.5,133.7,123.0,117.7,251.4
9,128806,125.5,124.3,129.5,125.0,249.3
10,128621,123.5,116.9,133.0,131.4,248.3
11,73232,126.5,126.8,119.5,120.4,247.2
12,174244,128.0,124.5,123.5,122.0,246.5
13,140329,128.5,126.6,122.0,116.9,243.5
14,17013,121.5,121.9,126.0,121.5,243.4
15,117835,121.0,117.5,126.0,124.4,241.9
16,68743,121.0,117.9,125.5,121.8,239.7
17,29533,123.5,120.1,120.5,114.0,234.1
18,12274,117.0,112.3,124.0,121.0,233.3
19,172117,125.5,122.1,119.5,109.4,231.5
20,117450,125.5,125.3,117.0,106.0,231.3
21,13322,123.0,120.8,118.0,109.1,229.9
22,117441,122.0,112.9,122.0,115.1,228.0
23,75837,120.5,116.9,119.0,109.9,226.8
24,112295,118.5,113.6,120.5,112.5,226.1
25,122992,119.0,109.7,120.5,110.9,220.6
26,72592,118.5,111.8,117.0,108.3,220.1
26,174572,119.0,113.6,118.5,106.5,220.1
28,90236,116.5,108.4,120.0,109.1,217.5
28,179422,126.5,116.9,115.0,100.6,217.5
30,73277,121.5,113.7,111.0,96.6,210.3
31,102371,120.0,108.2,,,108.2
32,27594,119.5,107.7,,,107.7
33,73166,115.0,107.3,,,107.3
34,189038,119.0,105.2,,,105.2
35,182547,119.5,104.4,,,104.4
36,111251,114.0,103.0,,,103.0
37,104161,114.0,102.7,,,102.7
38,123925,112.0,102.5,,,102.5
39,120379,115.0,101.7,,,101.7
39,135583,118.0,101.7,,,101.7
41,78803,114.5,101.4,,,101.4
42,108891,112.0,101.0,,,101.0
43,173399,116.5,99.1,,,99.1
44,139429,115.0,98.1,,,98.1
45,148842,113.0,93.9,,,93.9
46,128456,108.0,93.8,,,93.8
47,180709,110.5,89.4,,,89.4
48,149455,110.0,88.4,,,88.4
49,128281,106.5,85.9,,,85.9
50,167385,97.0,66.4,,,66.4
