mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,102251,106.5,,107.5,,255.2
2,80230,104.0,,102.0,,240.8
3,81305,104.0,,102.0,,238.8
4,110986,104.0,,100.5,,237.1
5,75837,107.0,,93.5,,230.9
6,106378,100.5,,100.0,,226.9
7,106376,105.0,,94.0,,224.2
8,80229,101.5,,96.0,,223.0
9,72592,111.0,,89.0,,223.0
10,99966,88.0,,111.0,,221.2
11,108516,100.5,,94.0,,217.6
12,99979,100.0,,92.0,,210.6
13,100198,96.0,,96.0,,210.6
14,92161,100.5,,90.0,,206.9
15,83153,94.5,,97.5,,206.6
16,92162,97.5,,92.0,,206.1
17,102354,96.0,,94.0,,205.5
18,94910,92.5,,96.5,,204.2
19,92991,97.0,,92.0,,203.7
20,102249,91.5,,98.0,,203.6
21,110988,93.0,,95.5,,203.3
22,94903,93.0,,95.5,,200.3
23,81306,92.5,,95.5,,199.9
24,94240,93.0,,94.0,,199.6
25,108519,90.0,,97.0,,198.1
26,72563,94.0,,90.0,,194.2
27,106377,90.0,,94.0,,193.2
28,117440,97.0,,86.5,,191.8
29,105256,98.5,,85.5,,191.7
30,119718,96.0,,87.5,,191.3
31,92990,91.5,,89.5,,185.3
32,108517,88.5,,90.5,,183.7
33,99965,88.5,,91.5,,182.5
34,150863,87.5,,92.0,,182.1
35,184561,91.5,,88.0,,182.1
36,117492,94.0,,84.0,,180.9
37,108006,81.0,,96.0,,179.6
38,99969,85.5,,92.5,,178.9
39,94238,85.0,,92.5,,178.5
40,106379,89.5,,87.5,,177.6
41,106260,80.5,,98.0,,174.8
42,106380,89.5,,84.5,,168.2
43,105267,82.0,,87.5,,160.6
44,81299,80.5,,87.5,,159.9
45,83145,80.0,,87.0,,158.6
46,93000,81.5,,85.0,,156.7
47,92998,84.5,,82.0,,156.2
48,94904,80.0,,85.0,,153.0
49,81304,86.0,,78.5,,151.1
50,102250,77.5,,88.0,,150.4
51,116086,76.0,,86.5,,148.0
52,108523,87.0,,87.0,,147.5
53,92737,79.5,,81.5,,145.8
54,108521,82.0,,80.5,,144.0
55,106404,82.0,,76.0,,134.4
56,96704,76.5,,72.0,,117.3
