mesto,id_tekmovalca,prvi_skok,prvi_tocke,drugi_skok,drugi_tocke,skupaj_tocke
1,181636,89.0,,91.0,,241.5
2,90875,88.5,,89.0,,239.5
3,105654,85.5,,89.5,,236.0
4,94155,88.5,,84.0,,231.0
5,68732,84.5,,86.5,,229.0
6,92118,87.5,,84.0,,226.0
7,97569,88.0,,83.5,,224.5
8,94157,85.0,,84.5,,222.5
9,75434,83.5,,84.5,,221.0
9,112259,84.5,,83.0,,221.0
11,83134,84.5,,84.0,,220.5
12,97562,87.5,,79.5,,218.5
13,73454,83.0,,81.5,,214.0
14,94158,83.0,,82.5,,213.5
14,122692,80.5,,84.0,,213.5
16,105641,81.0,,81.5,,207.0
17,119730,79.5,,82.5,,206.0
18,78802,80.0,,82.0,,205.5
19,123918,81.0,,78.5,,203.0
20,143537,79.5,,80.0,,201.5
21,94247,82.5,,76.5,,197.5
22,94154,81.5,,76.5,,196.5
23,73456,81.5,,75.5,,196.0
24,101371,79.0,,77.0,,191.5
25,122693,78.0,,78.0,,191.0
26,105635,79.0,,79.0,,190.0
27,123071,79.0,,76.5,,189.0
28,117439,78.5,,76.5,,187.0
29,90485,77.5,,74.0,,182.0
30,131300,83.5,,79.0,,106.5
31,90878,77.5,,,,94.0
32,127482,76.5,,,,92.5
33,105659,76.5,,,,91.0
34,134975,75.5,,,,88.0
34,94163,74.5,,,,88.0
36,73455,74.5,,,,86.0
36,128289,74.0,,,,86.0
38,94159,74.0,,,,83.5
38,94164,72.5,,,,83.5
40,120494,72.0,,,,81.5
41,105639,66.0,,,,69.0
42,128207,66.5,,,,66.0
43,143967,61.0,,,,52.0
