kategorija,datum,uvrstitev,drzava,mesto,disciplina,id
World Cup,12-03-2017,11,NOR,Oslo,HS134,4746
World Ski Championships,24-02-2017,17,FIN,Lahti,HS100,4752
Qualification,23-02-2017,21,FIN,Lahti,HS100,4751
World Cup,16-02-2017,10,KOR,PyeongChang,HS109,4750
World Cup,15-02-2017,11,KOR,PyeongChang,HS109,4749
World Cup,12-02-2017,11,SLO,Ljubno,HS95,4690
World Cup,11-02-2017,10,SLO,Ljubno,HS95,4689
World Cup,05-02-2017,10,AUT,Hinzenbach,HS94,4688
World Cup,04-02-2017,13,AUT,Hinzenbach,HS94,4687
World Cup,29-01-2017,14,ROU,Rasnov,HS100,4686
World Cup,28-01-2017,9,ROU,Rasnov,HS100,4685
World Cup,21-01-2017,10,JPN,Zao,HS103,4684
World Cup,20-01-2017,36,JPN,Zao,HS103,4683
World Cup,15-01-2017,8,JPN,Sapporo,HS100,4682
World Cup,14-01-2017,11,JPN,Sapporo,HS100,4681
World Cup,08-01-2017,13,GER,Oberstdorf,HS137,4680
World Cup,07-01-2017,8,GER,Oberstdorf,HS137,4679
World Cup,11-12-2016,13,RUS,Nizhny Tagil,HS100,4748
World Cup,10-12-2016,15,RUS,Nizhny Tagil,HS100,4747
World Cup,03-12-2016,5,NOR,Lillehammer,HS100,4676
World Cup,02-12-2016,5,NOR,Lillehammer,HS100,4675
Grand Prix,11-09-2016,8,RUS,Chaikovsky,HS106,4598
Grand Prix,10-09-2016,3,RUS,Chaikovsky,HS106,4596
Qualification,09-09-2016,11,RUS,Chaikovsky,HS106,4842
World Cup,28-02-2016,3,KAZ,Almaty,HS106,4450
World Cup,27-02-2016,4,KAZ,Almaty,HS106,4448
World Cup,19-02-2016,2,FIN,Lahti,HS100,4441
World Cup,14-02-2016,2,SLO,Ljubno,HS95,4475
World Cup,13-02-2016,1,SLO,Ljubno,HS95,4474
World Cup,07-02-2016,6,AUT,Hinzenbach,HS94,4473
World Cup,06-02-2016,4,AUT,Hinzenbach,HS94,4472
World Cup,04-02-2016,6,NOR,Oslo,HS134,4432
World Cup,31-01-2016,6,GER,Oberstdorf,HS106,4471
World Cup,30-01-2016,4,GER,Oberstdorf,HS106,4470
World Cup,23-01-2016,2,JPN,Zao,HS106,4469
World Cup,22-01-2016,3,JPN,Zao,HS106,4468
World Cup,17-01-2016,23,JPN,Sapporo,HS100,4467
World Cup,16-01-2016,12,JPN,Sapporo,HS100,4466
World Cup,13-12-2015,4,RUS,Nizhny Tagil,HS100,4410
World Cup,12-12-2015,14,RUS,Nizhny Tagil,HS100,4408
World Cup,04-12-2015,2,NOR,Lillehammer,HS100,4404
Grand Prix,13-09-2015,11,KAZ,Almaty,HS106,4331
Grand Prix,12-09-2015,5,KAZ,Almaty,HS106,4329
Grand Prix,06-09-2015,14,RUS,Chaikovsky,HS106,4327
Grand Prix,05-09-2015,7,RUS,Chaikovsky,HS106,4325
Grand Prix,14-08-2015,27,FRA,Courchevel,HS96,4320
World Cup,13-03-2015,6,NOR,Oslo,HS134,4139
World Ski Championships,22-02-2015,5,SWE,Falun,Team HS100,4122
World Ski Championships,20-02-2015,13,SWE,Falun,HS100,4119
