kategorija,datum,uvrstitev,drzava,mesto,disciplina,id
World Cup,19-03-2017,28,NOR,Vikersund,HS225,4741
World Cup,18-03-2017,3,NOR,Vikersund,Team HS225,4740
Qualification,17-03-2017,30,NOR,Vikersund,HS225,4739
Qualification,13-03-2017,19,NOR,Lillehammer,HS138,4735
World Cup,12-03-2017,20,NOR,Oslo,HS134,4734
Qualification,10-03-2017,21,NOR,Oslo,HS134,4732
World Ski Championships,04-03-2017,3,FIN,Lahti,Team HS130,4758
World Ski Championships,25-02-2017,24,FIN,Lahti,HS100,4754
Qualification,24-02-2017,16,FIN,Lahti,HS100,4753
World Cup,04-02-2017,19,GER,Oberstdorf,HS225,4724
Qualification,03-02-2017,7,GER,Oberstdorf,HS225,4723
World Cup,29-01-2017,7,GER,Willingen,HS145,4722
World Cup,28-01-2017,2,GER,Willingen,Team HS145,4721
Qualification,27-01-2017,11,GER,Willingen,HS145,4720
World Cup,22-01-2017,33,POL,Zakopane,HS134,4719
World Cup,21-01-2017,4,POL,Zakopane,Team HS134,4718
Qualification,20-01-2017,9,POL,Zakopane,HS134,4717
World Cup,15-01-2017,8,POL,Wisla,HS134,4716
World Cup,14-01-2017,31,POL,Wisla,HS134,4715
Qualification,13-01-2017,19,POL,Wisla,HS134,4714
World Cup,03-01-2016,33,AUT,Innsbruck,HS130,4420
Qualification,02-01-2016,41,AUT,Innsbruck,HS130,4419
World Cup,01-01-2016,21,GER,Garmisch-Partenkirchen,HS140,4418
Qualification,31-12-2015,35,GER,Garmisch-Partenkirchen,HS140,4417
World Cup,29-12-2015,31,GER,Oberstdorf,HS137,4416
Qualification,28-12-2015,46,GER,Oberstdorf,HS137,4415
World Cup,06-12-2015,20,NOR,Lillehammer,HS100,4406
World Cup,05-12-2015,14,NOR,Lillehammer,HS100,4405
World Cup,22-11-2015,17,GER,Klingenthal,HS140,4399
World Cup,21-11-2015,3,GER,Klingenthal,Team HS140,4398
Grand Prix,27-09-2015,1,AUT,Hinzenbach,HS94,4333
Qualification,26-09-2015,1,AUT,Hinzenbach,HS94,4339
World Cup,22-03-2015,9,SLO,Planica,HS225,4193
World Cup,21-03-2015,2,SLO,Planica,Team HS225,4192
World Cup,20-03-2015,12,SLO,Planica,HS225,4191
Qualification,19-03-2015,9,SLO,Planica,HS225,4190
World Cup,15-03-2015,17,NOR,Oslo,HS134,4189
World Cup,14-03-2015,17,NOR,Oslo,HS134,4188
World Cup,12-03-2015,8,NOR,Trondheim,HS138,4187
World Cup,10-03-2015,27,FIN,Kuopio,HS100,4186
World Cup,08-03-2015,7,FIN,Lahti,HS130,4184
World Cup,07-03-2015,5,FIN,Lahti,Team HS130,4183
World Ski Championships,28-02-2015,2,SWE,Falun,Team HS134,4125
World Ski Championships,26-02-2015,2,SWE,Falun,HS134,4124
World Ski Championships,21-02-2015,22,SWE,Falun,HS100,4121
World Cup,08-02-2015,10,GER,Titisee-Neustadt,HS142,4178
World Cup,07-02-2015,7,GER,Titisee-Neustadt,HS142,4177
World Cup,01-02-2015,20,GER,Willingen,HS145,4175
World Cup,31-01-2015,5,GER,Willingen,Team HS145,4174
World Cup,30-01-2015,13,GER,Willingen,HS145,4173
World Cup,18-01-2015,15,POL,Zakopane,HS134,4169
