kategorija,datum,uvrstitev,drzava,mesto,disciplina,id
World Cup,26-03-2017,6,SLO,Planica,HS225,4745
World Cup,25-03-2017,5,SLO,Planica,Team HS225,4744
World Cup,24-03-2017,10,SLO,Planica,HS225,4743
World Cup,19-03-2017,6,NOR,Vikersund,HS225,4741
World Cup,18-03-2017,4,NOR,Vikersund,Team HS225,4740
Qualification,17-03-2017,9,NOR,Vikersund,HS225,4739
World Cup,16-03-2017,7,NOR,Trondheim,HS138,4738
Qualification,15-03-2017,5,NOR,Trondheim,HS138,4737
Qualification,13-03-2017,14,NOR,Lillehammer,HS138,4735
World Cup,12-03-2017,16,NOR,Oslo,HS134,4734
World Cup,11-03-2017,6,NOR,Oslo,Team HS134,4733
Qualification,10-03-2017,2,NOR,Oslo,HS134,4732
World Ski Championships,04-03-2017,5,FIN,Lahti,Team HS130,4758
World Ski Championships,02-03-2017,9,FIN,Lahti,HS130,4757
World Ski Championships,26-02-2017,4,FIN,Lahti,Team HS100,4755
World Ski Championships,25-02-2017,11,FIN,Lahti,HS100,4754
World Cup,16-02-2017,4,KOR,PyeongChang,HS109,4731
World Cup,15-02-2017,13,KOR,PyeongChang,HS140,4730
World Cup,12-02-2017,6,JPN,Sapporo,HS134,4728
World Cup,11-02-2017,1,JPN,Sapporo,HS134,4727
Qualification,10-02-2017,1,JPN,Sapporo,HS134,4726
World Cup,05-02-2017,4,GER,Oberstdorf,HS225,4725
World Cup,04-02-2017,6,GER,Oberstdorf,HS225,4724
Qualification,03-02-2017,1,GER,Oberstdorf,HS225,4723
World Cup,29-01-2017,9,GER,Willingen,HS145,4722
World Cup,28-01-2017,4,GER,Willingen,Team HS145,4721
Qualification,27-01-2017,2,GER,Willingen,HS145,4720
World Cup,22-01-2017,13,POL,Zakopane,HS134,4719
World Cup,21-01-2017,3,POL,Zakopane,Team HS134,4718
Qualification,20-01-2017,3,POL,Zakopane,HS134,4717
World Cup,06-01-2017,23,AUT,Bischofshofen,HS140,4713
Qualification,05-01-2017,10,AUT,Bischofshofen,HS140,4712
World Cup,04-01-2017,19,AUT,Innsbruck,HS130,4711
Qualification,03-01-2017,14,AUT,Innsbruck,HS130,4710
World Cup,01-01-2017,11,GER,Garmisch-Partenkirchen,HS140,4709
Qualification,31-12-2016,10,GER,Garmisch-Partenkirchen,HS140,4708
World Cup,30-12-2016,10,GER,Oberstdorf,HS137,4707
Qualification,29-12-2016,9,GER,Oberstdorf,HS137,4706
World Cup,18-12-2016,33,SUI,Engelberg,HS140,4705
World Cup,17-12-2016,26,SUI,Engelberg,HS140,4704
World Cup,11-12-2016,9,NOR,Lillehammer,HS138,4702
World Cup,10-12-2016,30,NOR,Lillehammer,HS138,4701
World Cup,04-12-2016,22,GER,Klingenthal,HS140,4699
World Cup,03-12-2016,5,GER,Klingenthal,Team HS140,4698
World Cup,26-11-2016,7,FIN,Ruka,HS142,4696
World Cup,25-11-2016,3,FIN,Ruka,HS142,4695
Grand Prix,02-10-2016,3,GER,Klingenthal,HS140,4606
Grand Prix,01-10-2016,3,AUT,Hinzenbach,HS94,4605
Qualification,30-09-2016,1,AUT,Hinzenbach,HS94,4604
Grand Prix,06-08-2016,4,SUI,Einsiedeln,HS117,4590
Grand Prix,30-07-2016,4,GER,Hinterzarten,HS108,4588
Grand Prix,23-07-2016,5,POL,Wisla,HS134,4586
Grand Prix,22-07-2016,2,POL,Wisla,Team HS134,4585
Qualification,21-07-2016,2,POL,Wisla,HS134,4584
Continental Cup,02-07-2016,1,SLO,Kranj,HS109,4612
Continental Cup,01-07-2016,1,SLO,Kranj,HS109,4611
World Cup,20-03-2016,1,SLO,Planica,HS225,4461
World Cup,19-03-2016,2,SLO,Planica,Team HS225,4460
World Cup,18-03-2016,2,SLO,Planica,HS225,4459
World Cup,17-03-2016,1,SLO,Planica,HS225,4458
World Cup,12-03-2016,2,GER,Titisee-Neustadt,HS142,4456
World Cup,04-03-2016,5,POL,Wisla,HS134,4453
World Cup,28-02-2016,1,KAZ,Almaty,HS140,4451
World Cup,27-02-2016,1,KAZ,Almaty,HS140,4449
World Cup,23-02-2016,4,FIN,Kuopio,HS127,4446
World Cup,22-02-2016,5,FIN,Kuopio,Team HS127,4580
World Cup,21-02-2016,9,FIN,Lahti,HS100,4444
World Cup,19-02-2016,5,FIN,Lahti,HS130,4402
World Cup,14-02-2016,1,NOR,Vikersund,HS225,4440
World Cup,13-02-2016,1,NOR,Vikersund,HS225,4439
World Cup,12-02-2016,4,NOR,Vikersund,HS225,4435
World Cup,10-02-2016,1,NOR,Trondheim,HS140,4437
World Cup,06-02-2016,1,NOR,Oslo,Team HS134,4434
World Cup,31-01-2016,6,JPN,Sapporo,HS134,4431
World Cup,30-01-2016,1,JPN,Sapporo,HS134,4430
World Cup,24-01-2016,3,POL,Zakopane,HS134,4428
World Cup,23-01-2016,5,POL,Zakopane,Team HS134,4427
FIS Ski-Flying World Championships,17-01-2016,4,AUT,Tauplitz/Bad Mitterndorf,Team HS225,4465
FIS Ski-Flying World Championships,16-01-2016,1,AUT,Tauplitz/Bad Mitterndorf,HS225,4464
World Cup,10-01-2016,1,GER,Willingen,HS145,4425
World Cup,09-01-2016,4,GER,Willingen,Team HS145,4424
World Cup,06-01-2016,1,AUT,Bischofshofen,HS140,4422
Qualification,05-01-2016,2,AUT,Bischofshofen,HS140,4421
World Cup,03-01-2016,1,AUT,Innsbruck,HS130,4420
World Cup,01-01-2016,1,GER,Garmisch-Partenkirchen,HS140,4418
Qualification,31-12-2015,1,GER,Garmisch-Partenkirchen,HS140,4417
World Cup,29-12-2015,3,GER,Oberstdorf,HS137,4416
Qualification,28-12-2015,1,GER,Oberstdorf,HS137,4415
World Cup,20-12-2015,1,SUI,Engelberg,HS137,4414
World Cup,19-12-2015,1,SUI,Engelberg,HS137,4413
